"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","AS_ppm","PBO","S","ZRO2","GROUP"
"24","[15335] KISELEV A. I. (2009)","samp. 12D-2","CONTINENTAL FLOOD BASALT","SIBERIAN TRAPS / YAKUTIAN KIMBERLITE FIELDS / NYURBINSKAYA (NYURBA) KIMBERLITE PIPE","NAKYN KIMBERLITE FIELD",64.65,64.65,116.62,116.62,"subaerial",NA,NA,"DOLERITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",96.32,0.033,0.2,0.036,0.046,0.21,0.05,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"25","[15335] KISELEV A. I. (2009)","samp. 22A-1","CONTINENTAL FLOOD BASALT","SIBERIAN TRAPS / YAKUTIAN KIMBERLITE FIELDS / NYURBINSKAYA (NYURBA) KIMBERLITE PIPE","NAKYN KIMBERLITE FIELD",64.65,64.65,116.62,116.62,"subaerial",NA,NA,"BASALT","MICROPORPHYRITIC",NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",97.05,0,0.55,0,0.3,0.035,0,0,0.033,0.02,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"26","[15637] ZAVALA K. (2011)","samp. 96-B-1","CONTINENTAL FLOOD BASALT","KAROO AND FERRAR PROVINCES / FERRAR PROVINCE - TRANSANTARCTIC MOUNTAINS / FERRAR SUPERGROUP-FERRAR DOLERITE","TAYLOR VALLEY, TRANSANTARTCIC MOUNTAINS",-77.6,-77.6,163,163,"subaerial",NA,NA,"DOLERITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",100.6,0,0.05,0.015,0.117381688471051,0,0,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"27","[15637] ZAVALA K. (2011)","samp. 96-B-1","CONTINENTAL FLOOD BASALT","KAROO AND FERRAR PROVINCES / FERRAR PROVINCE - TRANSANTARCTIC MOUNTAINS / FERRAR SUPERGROUP-FERRAR DOLERITE","TAYLOR VALLEY, TRANSANTARTCIC MOUNTAINS",-77.6,-77.6,163,163,"subaerial",NA,NA,"DOLERITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",99.77,0,0.09,0.02,0.04,0,0,0,0.04,0.01,0.05,0,0,0,0.04,0,0,0,0,0,0,0,"QUARTZ"
"28","[15637] ZAVALA K. (2011)","samp. 96-B-1","CONTINENTAL FLOOD BASALT","KAROO AND FERRAR PROVINCES / FERRAR PROVINCE - TRANSANTARCTIC MOUNTAINS / FERRAR SUPERGROUP-FERRAR DOLERITE","TAYLOR VALLEY, TRANSANTARTCIC MOUNTAINS",-77.6,-77.6,163,163,"subaerial",NA,NA,"DOLERITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",99.66,0,0.15,0.027,0.0933,0.01,0,0,0.09,0.03,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"29","[15637] ZAVALA K. (2011)","samp. 96-B-1","CONTINENTAL FLOOD BASALT","KAROO AND FERRAR PROVINCES / FERRAR PROVINCE - TRANSANTARCTIC MOUNTAINS / FERRAR SUPERGROUP-FERRAR DOLERITE","TAYLOR VALLEY, TRANSANTARTCIC MOUNTAINS",-77.6,-77.6,163,163,"subaerial",NA,NA,"DOLERITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",99.8,0,0.03,0,0.114,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"30","[15637] ZAVALA K. (2011)","samp. 96-B-1","CONTINENTAL FLOOD BASALT","KAROO AND FERRAR PROVINCES / FERRAR PROVINCE - TRANSANTARCTIC MOUNTAINS / FERRAR SUPERGROUP-FERRAR DOLERITE","TAYLOR VALLEY, TRANSANTARTCIC MOUNTAINS",-77.6,-77.6,163,163,"subaerial",NA,NA,"DOLERITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",100.68,0,0.1,0.032,0.046,0,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"31","[15637] ZAVALA K. (2011)","samp. 96-B-1","CONTINENTAL FLOOD BASALT","KAROO AND FERRAR PROVINCES / FERRAR PROVINCE - TRANSANTARCTIC MOUNTAINS / FERRAR SUPERGROUP-FERRAR DOLERITE","TAYLOR VALLEY, TRANSANTARTCIC MOUNTAINS",-77.6,-77.6,163,163,"subaerial",NA,NA,"DOLERITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",99.67,0,0.21,0.01,0.136,0,0,0,0.13,0.01,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"32","[15637] ZAVALA K. (2011)","samp. 96-B-1","CONTINENTAL FLOOD BASALT","KAROO AND FERRAR PROVINCES / FERRAR PROVINCE - TRANSANTARCTIC MOUNTAINS / FERRAR SUPERGROUP-FERRAR DOLERITE","TAYLOR VALLEY, TRANSANTARTCIC MOUNTAINS",-77.6,-77.6,163,163,"subaerial",NA,NA,"DOLERITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",100.28,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"33","[15637] ZAVALA K. (2011)","samp. 96-B-1","CONTINENTAL FLOOD BASALT","KAROO AND FERRAR PROVINCES / FERRAR PROVINCE - TRANSANTARCTIC MOUNTAINS / FERRAR SUPERGROUP-FERRAR DOLERITE","TAYLOR VALLEY, TRANSANTARTCIC MOUNTAINS",-77.6,-77.6,163,163,"subaerial",NA,NA,"DOLERITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",99.99,0,0.05,0,0.127,0.01,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"34","[15637] ZAVALA K. (2011)","samp. 154-A","CONTINENTAL FLOOD BASALT","KAROO AND FERRAR PROVINCES / FERRAR PROVINCE - TRANSANTARCTIC MOUNTAINS / FERRAR SUPERGROUP-FERRAR DOLERITE","TAYLOR VALLEY, TRANSANTARTCIC MOUNTAINS",-77.6,-77.6,163,163,"subaerial",NA,NA,"DOLERITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",99.68,0,0.25,0,0.18,0,0,0,0.09,0,0,0,0,0,0.01,0,0,0,0,0,0,0,"QUARTZ"
"35","[15637] ZAVALA K. (2011)","samp. 154-A","CONTINENTAL FLOOD BASALT","KAROO AND FERRAR PROVINCES / FERRAR PROVINCE - TRANSANTARCTIC MOUNTAINS / FERRAR SUPERGROUP-FERRAR DOLERITE","TAYLOR VALLEY, TRANSANTARTCIC MOUNTAINS",-77.6,-77.6,163,163,"subaerial",NA,NA,"DOLERITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",100.24,0,0.08,0,0.08,0.03,0,0,0.03,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"36","[15637] ZAVALA K. (2011)","samp. 154-A","CONTINENTAL FLOOD BASALT","KAROO AND FERRAR PROVINCES / FERRAR PROVINCE - TRANSANTARCTIC MOUNTAINS / FERRAR SUPERGROUP-FERRAR DOLERITE","TAYLOR VALLEY, TRANSANTARTCIC MOUNTAINS",-77.6,-77.6,163,163,"subaerial",NA,NA,"DOLERITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",99.33,0,0.11,0,0.01,0.01,0,0,0.02,0.001,0.0006573431810313,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"37","[15743] HIDALGO P. J. (2011)","samp. CGH12P1","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / DOMES UNIT",NA,8.58,8.62,-80.1,-80.14,"subaerial",NA,NA,"DACITE",NA,NA,NA,NA,"QUARTZ","14",NA,"rim",NA,"primary",99.63,0.04,0.02,0.01,0.2,0.02,0.01,0.01,0.02,0,0.05,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"38","[15743] HIDALGO P. J. (2011)","samp. CGH12P2","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / DOMES UNIT",NA,8.58,8.62,-80.1,-80.14,"subaerial",NA,NA,"DACITE",NA,NA,NA,NA,"QUARTZ","14",NA,"rim",NA,"primary",99.46,0.03,0.06,0,0.34,0.03,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"39","[15743] HIDALGO P. J. (2011)","samp. CCH5P5","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / DOMES UNIT",NA,8.58,8.62,-80.1,-80.14,"subaerial",NA,NA,"DACITE",NA,NA,NA,NA,"QUARTZ","19",NA,"rim",NA,"primary",83.61,0.12,10.74,0.02,0.32,2.05,0.09,0.03,0.18,2.73,0.01,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"40","[15980] BOODEN M. A. (2012)","samp. R17880","CONVERGENT MARGIN","NEW ZEALAND / COROMANDEL-TAUPO / COROMANDEL VOLCANIC ZONE / WAIPUPU FORMATION (WAIWAWA SUBGROUP)","WAIPUPU",-36.5,-37.5,175.5,176,"subaerial",NA,NA,"DACITE, PYROXENE",NA,NA,NA,"fresh","QUARTZ",NA,NA,"rim",NA,"primary",97.91,0.02,0.01,0.04,0.03,0.05,0.04,0.16,0.05,0,0.03,0,0,0,0.14,0,0,0,0,0,0,0,"QUARTZ"
"41","[16504] SCOTT J. A. J. (2012)","samp. SG-09-37","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / GUATEMALA / SANTIAGUITO","1940 ERUPTION ?",14.74223,14.74223,91.57175,91.57175,"subaerial",NA,NA,"DACITE","PORPHYRITIC",NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",99.6176,0.2126,1.4247,0,0.046,0.0351,0,0,0.0098,0.4436,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
