SAMPLE	MINERAL	GROUP	   Au    	   Pt    	   W     	   As    	   Se    	   Cu    	   Ni    	   Mn    	   Sb    	   Pb    	   S     	   Zn    	   Co    	   Fe    	   Te    	   Cd    	   Ag    	   Bi    	   Hg    
JB-0905-16_C2_Sulf-1-2 	PYRITE	SULFIDE	0	0	0	0.027	0	4.347	0.051	0	0	0	49.208	0.151	0	44.864	0.068	0.395	0	0	0
JB-0905-16_C2_Sulf-1-3 	PYRITE	SULFIDE	0.044	0	0	0.003	0.025	0.003	0.06	0	0	0	49.959	0	0	46.369	0.101	1.108	0	0	0
JB-0905-16_C2_Sulf-1-4 	PYRITE	SULFIDE	0	0	0.034	0.026	0.009	0.056	0	0	0	0	50.287	0.094	0.084	46.084	0.046	0.714	0	0	0
JB-0905-16_C2_Sulf-1-5 	PYRITE	SULFIDE	0.208	0.176	0.044	0.019	0	0.122	0.049	0	0.033	0	49.297	0.001	0	46.139	0.005	0.827	0	0	0
JB-0905-16_C2_Sulf-1-6 	PYRITE	SULFIDE	0	0.002	0	0.028	0	0.155	0.008	0	0.002	0	49.104	0.007	0	46.334	0.019	1.041	0	0	0
JB-0906-11_C1_Sulf-1-1 	PYRITE	SULFIDE	0	0.013	0.027	0.005	0.013	0.014	0.08	0	0	0	51.609	0.029	0	46.225	0.008	0.01	0	0	0
JB-0906-11_C1_Sulf-1-2 	PYRITE	SULFIDE	0	0.009	0.014	0.007	0	0.009	0	0	0.015	0	50.932	0.044	0	45.956	0.006	0.031	0	0	0
JB-0906-11_C1_Sulf-1-3 	PYRITE	SULFIDE	0.006	0	0.074	0.013	0.008	0.028	0.043	0	0	0	50.565	0	0.009	45.923	0.003	0.004	0	0	0
JB-0906-11_C1_Sulf-1-4 	PYRITE	SULFIDE	0	0	0	0.026	0.014	0	0	0	0	0	50.399	0.011	0	46.036	0	0.201	0	0	0
JB-0906-11_C1_Sulf-1-5 	PYRITE	SULFIDE	0	0	0	0.009	0.017	0	0.013	0	0	0	51.926	0.011	0	45.389	0.015	0	0	0	0
JB-0906-11_C1_Sulf-1-6 	PYRITE	SULFIDE	0	0	0	0.017	0	0.02	0	0	0.008	0	51.315	0	0	45	0	0	0	0	0
JB-0906-11_C3_Sulf-1-2 	PYRITE	SULFIDE	0	0	0	0.032	0.02	0	0.618	0	0	0	51.12	0.019	0	45.491	0	0.024	0	0	0
JB-0906-11_C3_Sulf-1-3 	PYRITE	SULFIDE	0	0	0	0	0.01	0.073	0.57	0	0	0	51.974	0.02	0	46.663	0	0.034	0	0	0
JB-0906-11_C3_Sulf-1-4 	PYRITE	SULFIDE	0.034	0.008	0.012	0.008	0.02	0.024	1.682	0	0	0	51.511	0.03	0	45.169	0.006	0	0	0	0
JB-0906-11_C3_Sulf-1-5 	PYRITE	SULFIDE	0	0	0.013	0.008	0.012	0.06	0.63	0	0	0	51.587	0.062	0	46.106	0	0.047	0	0	0
JB-0906-11_C3_Sulf-1-6 	PYRITE	SULFIDE	0	0	0	0.017	0	0.014	1.408	0	0	0	51.161	0	0.127	45.168	0	0.004	0	0	0
JB-0906-11_C3_Sulf-1-7 	PYRITE	SULFIDE	0	0	0.004	0	0	0.008	0.66	0	0.01	0	51.343	0.007	0	45.633	0	0.008	0	0	0
JB-0906-11_C3_Sulf-1-8 	PYRITE	SULFIDE	0	0	0	0	0.021	0.009	0.725	0	0.007	0	51.578	0.016	0	45.436	0.094	0.022	0	0	0
JB-0906-11_C3_Sulf-1-9 	PYRITE	SULFIDE	0.016	0	0	0	0.018	0.036	1.286	0	0	0	52.151	0.003	0	45.057	0.14	0.02	0	0	0
JB-0906-11_C3_Sulf-1-10	CHALCOPYRITE	SULFIDE	0	0	0	0	0.022	33.48	0	0	0	0	32.308	0	0.008	29.371	0.031	0.041	0	0	0
JB-0906-11_C3_Sulf-1-14	PYRITE	SULFIDE	0.003	0	0.041	0	0.007	0	0.628	0	0.011	0	52.36	0.019	0.022	45.053	0	0.01	0	0	0
JB-0906-11_C3_Sulf-1-15	PYRITE	SULFIDE	0	0	0	0.023	0.023	0	0.938	0	0.002	0	52.002	0	0.001	45.994	0	0.052	0	0	0
JB-0906-11_C3_Sulf-2-1 	PYRITE	SULFIDE	0	0	0	0.02	0.023	0	0.075	0	0.028	0	51.258	0.036	0	46.215	0.057	0.024	0	0	0
JB-0906-11_C3_Sulf-2-2 	PYRITE	SULFIDE	0	0	0.008	0.01	0.007	0	0	0	0	0	52.597	0	0	46.227	0	0.031	0	0	0
JB-0906-11_C3_Sulf-2-3 	PYRITE	SULFIDE	0	0	0	0.297	0.03	0.047	0.052	0	0	0	51.612	0	0.388	45.545	0	0.002	0	0	0
JB-0905-16_C1_Sulf-3-2 	CHALCOPYRITE	SULFIDE	0.012	0	0	0.007	0.026	35.361	0	0	0.014	0	33.326	0.134	0	29.836	0.015	0.003	0	0	0
JB-0905-16_C1_Sulf-3-3 	CHALCOPYRITE	SULFIDE	0	0	0.043	0.019	0.039	36.833	0	0	0	0	33.227	0.141	0	29.516	0.051	0.032	0	0	0
JB-0905-16_C1_Sulf-4-2 	CHALCOPYRITE	SULFIDE	0	0	0	0.027	0.028	30.936	0	0	0.009	0	30.63	0.842	0	29.478	0.006	0.105	0	0	0
JB-0906-11_C2_Sulf-1-1 	CHALCOPYRITE	SULFIDE	0.007	0	0.014	0.014	0.012	33.813	0	0	0	0	32.641	0	0	29.472	0	0.002	0	0	0
JB-0906-11_C2_Sulf-1-2 	CHALCOPYRITE	SULFIDE	0.05	0.004	0.007	0.036	0.016	33.731	0	0	0	0	32.993	0	0	29.722	0	0.001	0	0	0
JB-0906-11_C2_Sulf-1-3 	CHALCOPYRITE	SULFIDE	0	0	0	0.002	0	33.68	0	0	0.001	0	32.588	0.05	0	29.542	0.021	0	0	0	0
JB-0906-11_C2_Sulf-1-4 	CHALCOPYRITE	SULFIDE	0.005	0	0.095	0.021	0.014	34.023	0	0	0.011	0	32.616	0.004	0	29.578	0	0	0	0	0
JB-0906-11_C3_Sulf-1-1 	CHALCOPYRITE	SULFIDE	0.022	0	0.025	0.022	0.025	34.224	0	0	0	0	32.637	0	0.012	28.867	0.005	0.015	0	0	0
JB-0906-11_C3_Sulf-1-11 	CHALCOPYRITE	SULFIDE	0	0.016	0	0.017	0.011	33.448	0	0	0	0	32.997	0.034	0	29.707	0.057	0.009	0	0	0
JB-0905-16_C1_Sulf-3-1 	DIGENITE	SULFIDE	0	0	0	0	0.041	59.081	4.18	0	0.021	0	30.882	0.127	1.06	5.537	0.028	0.219	0.087	0	0
JB-0905-16_C1_Sulf-4-1 	DIGENITE	SULFIDE	0.007	0.011	0	0	0.026	60.326	1.549	0	0	0.018	30.265	9.146	0.17	3.465	0.006	0.251	0.041	0	0
JB-0906-11_C3_Sulf-1-12 	PYRRHOTITE	SULFIDE	0.005	0	0.01	0.01	0.005	0	2.487	0	0	0	37.213	0.015	0	56.538	0.002	0.045	0	0	0
