"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","SOMA"
"483","41414","samp. 488533","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.36,0.066,0,0.0138,7.42,26.36,16.15,1.45,0.982688,0,0,0,0.17,0.12,0.069,0,0,0.06,0,0.01,0.015,0,53.246488
"484","41415","samp. 488533","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.1519,0,0,0,0.456,51.32,0.111,0.641,0.02,0.025,0,0,0.23,0.02,0.03,0,0,0,0,0.01,0.18,0,53.1949
"485","41416","samp. 488533","CARBONATE","CALCITE","CARBONATITE, CALCIO",0,0,0,0.02,0.354,50.83,0.087,0.575,0.011,0.007,0.025,0,0,0,0.04,0,0,0,0,0,0.04,0,51.989
"486","41417","samp. 488533","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.5257273,0,0.07608452,0.01,0.447,50.8,0.142,0.656,0,0.01,0,0,0.07,0.0011,0.001,0,0,0,0,0.01,0.01,0,52.75891182
"487","41418","samp. 488533","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0,0.05,2e-04,0.144,5.5,26.84,18.23,1.172,0.04,0.024,0.056,0,1.82,0.06,0.07,0,0,0.06,0,0.01,0.015,0,54.0912
"488","41419","samp. 488533","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.3910089,0.008577956,0.04,0.18,0.588,52.21,0.294,0.804,0.1395335,0,0.01,0,0.5353,0.63,0.03,0,0,0.03,0,0.6,0.01,0,56.500420356
"489","41420","samp. 488533","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0,0.02,0.02,0,5.84,26.3,17.67,1.154,0.02697161,0,0.01,0,0.23,0.14,0,0,0,0.06,0,0.2,0.18,0,51.85097161
"490","41421","samp. 488533","CARBONATE","CALCITE","CARBONATITE, CALCIO",0,0,0,0,0.746,50.65,0.488,0.773,0,0,0,0,0,0,0.069,0,0,0,0,0.01,0.01,0,52.746
"491","41422","samp. 488533","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.04,0,0,0,0.578,51.21,0.343,0.672,0,0,0.014,0,0,0,2e-04,0,0,0,0,0,0.04,0,52.8972
"492","41423","samp. 488533","CARBONATE","CALCITE","CARBONATITE, CALCIO",4.1,0.048,0.2036301,0,0.524,51.56,0.286,0.61,0.05786319,0,0,0,0,0,0.01,0,0,0.01,0,0.6,0.01,0,58.01949329
"493","41424","samp. 488533","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.71,0,0.09287478,0.01,0.576,52.58,0.207,0.793,0,0.032,0.014,0,0,0,0.02,0,0,0.06,0,0.14,7.524569,0,62.75944378
"494","41425","samp. 488533","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.05,0,0.05,0,0.577,50.45,0.321,0.584,0.01,0,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0,52.072
"495","41426","samp. 488533","CARBONATE","CALCITE","CARBONATITE, CALCIO",0,0,0.12,0,0.762,48.28,0.594,0.591,0.05799825,0.046,0,0,0,0,0.01,0,0,0.01,0,0.01,0.015,0,50.49599825
"496","41427","samp. 488533","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.06,0,0.01,0.01,5.52,27.16,18.92,1.137,0.32,0.011,0.036,0,0.1509,0,0,0,0,0.06,0,0,0.04,0,53.4349
"497","41428","samp. 488534","CARBONATE","CALCITE","CARBONATITE, CALCIO",2.12,0.12,0.22,0.18,0.825,48.36,1.005,0.531,0.11205,0.027,0,0,0,0.04,0.0549,0,0,0,0,0.19,0.01,0,53.79495
"498","41429","samp. 488534","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0,0.06378132,0.02,0.173,7.06,26.14,16.37,1.142,0,0,0.023,0,0,0,0.015,0,0,0.06,0,0.6,7.524569,0,59.19135032
"499","41430","samp. 488534","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.32,0.1,0.01,0,7.04,26.57,16.32,1.15,0,0.01,0.01,0,0.38,0.21,0.07,0,0,0.21,0,0.2,0.01,0,52.61
"500","41431","samp. 488534","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.034,0.07,0.06,0.073,0.588,50.75,0.491,0.445,0,0.046,0.012,0,0,0.0029,0,0,0,0.02,0,0.01,7.524569,0,60.126469
"501","41432","samp. 488534","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.07,0,0,0.015,5.84,26.98,17.56,0.977,0.03,0.021,0.012,0,0,0.04,0.054,0,0,0.3871,0,0.19,0.01,0,52.1861
"502","41433","samp. 488534","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.32,0,0.14,0,5.86,26.81,18.6,1.018,0,0,0,0,0.18,0.0039,0.02,0,0,0.06,0,0.6,0.04,0,53.6519
"503","41434","samp. 488534","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.67,0.02288463,0.76,0,0.725,48.75,0.807,0.463,0.09,0,0,0,0,0.0036,0.01,0,0,0,0,0.2,0.18,0,52.68148463
"504","41436","samp. 488534","CARBONATE","CALCITE","CARBONATITE, CALCIO",2.66,0.02036151,0.1071948,0.01,0.57,50.75,0.554,0.535,0.07,0.016,0,0,0.03,0,0.03,0,0,0,0,0.2,0.04,0,55.59255631
"505","41437","samp. 488534","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.013,0,0.007,0.0138,0.457,51.62,0.371,0.437,0,0.027,0,0,0,0,0.01,0,0,0,0,0.01,0.01,0,52.9758
"506","41438","samp. 488534","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.01,0.01,0.0163333333333333,0,0.645,50.04,0.672,0.58,0.02,0,0,0,0,0,0.05,0,0,0,0,0.14,0.01,0,52.1933333333333
