SAMPLE NAME,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,FeOT,CaO,MgO,MnO,K2O,Na2O,F,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
samp. 7E,MINETTE,PHLOGOPITE,38.5,4.09,13.04,0.65,5.36,0.07,21.95,0.03,10.44,0.47,1.52,0.9891259813507882,0.19395443479388091,-0.6039028641194497,0.060654127484058296,0.7669110632378213,-0.09595504940226136,-0.23122108216864062,-0.006663694476708587,-0.7000214632316943,-0.6555125253439863,-0.014553779551440424
samp. 104,NOT GIVEN,PHLOGOPITE,38.87,3.09,13.4,1.54,4.96,0.03,22.96,0,9.85,0.54,1.22,1.3450322164526443,0.36326967199212146,-0.11268934197501063,0.21742029842493518,1.9619033422042012,-0.3240922276978246,-0.5436068020779257,-0.5384072756279151,0.055995864379085825,-0.3848903294674265,-0.07943964591505841
samp. 104,NOT GIVEN,PHLOGOPITE,38.83,2.84,13.46,1.65,4.75,0.01,22.92,0,10.56,0.38,1.03,1.5522423689955327,-0.1558141247802534,-0.23374338964983948,0.1794116257679652,2.150742772630723,-0.614511070341471,-0.5577220317035536,-0.4649881523285245,-0.02312538934644269,-0.616215346443289,-0.0424442886016533
samp. 101A,MINETTE,PHLOGOPITE,38.99,2.83,13.55,0.9,5.01,0.04,22.9,0,10.16,0.42,1.14,1.2100913875139643,-0.06743635986574456,-0.07349133710654417,0.1579166777672148,1.0810420080702399,-0.12554178283220635,-0.19635539517271336,-0.25188164650463774,-0.27348968982411387,-0.5116666233056527,-0.044635062208156294
samp. 154,MINETTE,PHLOGOPITE,38.18,4,13.61,0.33,7.8,0.03,20.48,0.05,9.99,0.39,1.06,0.35267652717746756,-0.015500487201036348,-0.46183274221229226,0.16164483245174777,0.3617113853558013,0.031002127772918088,-0.0070648653204854785,-0.06818017257897205,-0.6722734142229089,-0.4183946381727664,-0.04954440767539129
samp. 154,MINETTE,PHLOGOPITE,38.91,3.58,13.29,0.14,6.81,0.04,22.13,0.04,9.86,0.45,1.16,0.6166298245358731,0.05928346626560041,-0.24754932308052843,0.10449079828441833,0.010074748764701545,0.22708077422025785,0.12815332048800535,-0.092029919921304,-0.6785545920634477,-0.37229903901249684,-0.10873198779498192
samp. 158,MINETTE,PHLOGOPITE,38.66,3.55,13.83,0.46,6.63,0.03,21.62,0.05,9.98,0.42,1.15,0.6659401573276555,0.001812577285267408,-0.25992251085973156,0.12695104104197874,0.5276941163095034,0.07611932478151621,-0.040668642138961,-0.08835102026347572,-0.5595079726548418,-0.4210259947883364,-0.09063268850575161
samp. 158,MINETTE,PHLOGOPITE,38.92,3.5,13.4,0.2,6.47,0.03,21.97,0.03,9.96,0.45,1.22,0.6864067662145517,0.02647747679929468,-0.25325884686074746,0.07483612020219695,0.1083295804913316,0.2203977810310987,0.0814330290018156,-0.05950832154201035,-0.6530398640958566,-0.4269155313773165,-0.07443028283426571
samp. 207,MINETTE,PHLOGOPITE,37.98,4.36,13.79,0.42,8.93,0.02,19.71,0.03,9.73,0.39,0.85,0.07930059933603842,0.05265258587349106,-0.5134580259958106,0.25304888528225417,0.5096811466516386,-0.00924305892824346,-0.0895117911585493,-0.2064322066971902,-0.6458231734206783,-0.25354521217425935,-0.08614244243252253
samp. 207,MINETTE,PHLOGOPITE,38.82,3.2,13.5,0.11,6.34,0.04,22.29,0.03,9.81,0.48,0.95,0.6195125372524368,-0.01594626254447412,-0.05095874330628403,0.1337725963025351,-0.0038370261473236016,0.2996517786390697,0.21267775568159786,-0.19958687639008654,-0.6590655600388888,-0.4230795110784379,-0.06176353452686921
samp. 242,MINETTE,PHLOGOPITE,39.11,3.57,13.76,0.79,6.32,0.04,21.94,0.02,9.61,0.82,1.34,0.8014650194026938,0.6632392620615777,-0.12149712070330466,-0.10193848990758901,0.9408725764614957,0.3165452773946112,-0.3419920140397149,-0.5239737801406155,-0.3332142884991832,-0.48638170614296683,-0.14832014282378755
samp. 166B,"LEUCITITE, PHLOGOPITE",PHLOGOPITE,38.8,3.31,12.7,0.33,7.27,0.03,22.36,0.03,9.66,0.62,1.11,0.6618645271281381,0.3184054216344124,-0.16488779273773313,0.057069901272595785,0.20307776454437768,0.2269203152017103,0.07783802885824724,-0.41675496442927956,-0.422264379292231,-0.4359706873503888,-0.1007232876895893
samp. 166B,"LEUCITITE, PHLOGOPITE",PHLOGOPITE,37.74,9.07,11.31,0.03,7.55,0.04,18.37,0.06,8.48,0.83,3.38,-0.2999550301854955,2.586706577611092,-2.0031831140808714,0.15917832660725176,-0.1362606421629935,0.6501241374643627,-0.5575746120190331,0.621782047913418,-1.3521951801175076,0.3927025943662142,-0.046323341591559375
