"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","GROUP"
"2927","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.21,0.000277249416828905,0,0,0.149,54.695,0.0208,0,0,0.05,41.643,0.80370221768738,1.876,0.295,"APATITE"
"2928","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.2,0,0,0,0.149,54.343,0.026,0.047,0,0.068,42.005,0.884146101644946,1.715,0.277,"APATITE"
"2929","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.26,0,0.02,0,0.115,54.718,0.0436837714778691,0,0.0091,0.03,41.643,0.872685614430491,1.731,0.301,"APATITE"
"2930","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.168,0,0.0046,0.005,0.069,54.824,0.06,0.036,0.002,0.06,41.977,0.964536593021501,1.559,0.282,"APATITE"
"2931","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.173,0.01,0.012,0,0.151,54.454,0.08,0.031,0,0.044,41.664,0.871410994533067,1.696,0.345,"APATITE"
"2932","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.101,0,0,0,0.094,55.018,0.04,0.033,0.001,0.043,41.971,0.849731792534131,1.788,0.312,"APATITE"
"2933","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.222,0,0,0.0165,0.071,54.125,0.00460623845711599,0,0,0.058,41.722,0.790251101166482,1.851,0.35,"APATITE"
"2934","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.318,0,0,0,0.137,54.638,0.17,0.052,0,0.036,41.364,0.751700756244897,1.854,0.528,"APATITE"
"2935","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.212,0,0,0,0.144,54.35,0.013239,0.101,0.002,0.054,41.542,0.795773008777309,1.749,0.542,"APATITE"
"2936","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.165,0.019,0.004,0,0.13,54.538,0.053,0,0.001,0.06,41.554,0.787056662875005,1.77,0.538,"APATITE"
"2937","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.164,0,0,0,0.146,54.626,0.015,0,0,0.076,41.718,0.869218658465662,1.699,0.362,"APATITE"
"2938","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.25,0.00126265581753471,0.02,0,0.102,55.101,0.007,0.092,0.004,0.05,41.996,0.84952004529692,1.766,0.377,"APATITE"
"2939","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.203,0,0,0,0.085,55.316,0.006,0.041,0,0.053,41.66,0.816888287129185,1.84,0.356,"APATITE"
"2940","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.072,0,0,0,0.089,54.513,0.015,0.05,0,0.048,41.974,0.797057482533289,1.894,0.278,"APATITE"
"2941","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.153,0,0,0,0.065,55.117,0,0.066,0.00244402342060314,0.091,41.828,0.821781775851397,1.869,0.283,"APATITE"
"2942","[19291] TEIBER H. (2015)","samp. GM1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.218,0,0,0,0.145,54.892,0.027,0.066,2e-04,0.034,41.816,0.825264630346667,1.86,0.267,"APATITE"
"2943","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.193,0,0,0,0.149,54.539,0.07,0.051,0,0.034,41.761,0.573537858410209,2.383,0.25,"APATITE"
"2944","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.181,0,0,0.038,0.122,55.537,0.02678,0.041,0,0.025,41.687,0.523792765501194,2.527,0.245,"APATITE"
"2945","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.08,0.00344027383679848,0,0,0.106,54.67,0.1,0.059,0,0.035,42.231,0.550286856911022,2.451,0.244,"APATITE"
"2946","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.114,0.02,0,0,0.131,54.774,0.05,0.075,0,0.032,41.596,0.495499573113202,2.537,0.269,"APATITE"
"2947","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.138,0,0,0,0.064,54.715,0.009,0,0,0.07,41.726,0.551242256951635,2.42,0.273,"APATITE"
"2948","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.335,0,0,0,0.07,54.668,0.01,0,0,0.024,41.635,0.535564336547882,2.48,0.224,"APATITE"
"2949","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.172,0,0,0,0,54.716,0,0.062,0,0.022,41.676,0.64395550280927,2.239,0.235,"APATITE"
"2950","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.084,0,0,0,0.118,55.006,0.056,0.057,0,0.053,41.768,0.59045800506483,2.364,0.248,"APATITE"
"2951","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.175,8.62056906682325e-05,0,0,0.071,55.31,0,0.086,0,0.066,42.313,0.601517294283551,2.372,0.254,"APATITE"
"2952","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.209,0,0,0,0.108,55.119,0.01,0.047,0,0.029,42.05,0.593576713815869,2.376,0.248,"APATITE"
"2953","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.175,0.012,0,0.024,0,55.147,0,0.051,0,0.056,41.662,0.630331877520051,2.293,0.226,"APATITE"
"2954","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.197,0,0,0.029,0.054,54.638,0.006,0.038,0,0.036,41.65,0.565600101670367,2.405,0.232,"APATITE"
"2955","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.121,0,0,0,0.076,54.954,0,0.041,0,0.028,42.039,0.517504838987752,2.517,0.254,"APATITE"
"2956","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.179,0,0,0,0.085,54.3,0,0.089,0,0.053,41.78,0.56417648200385,2.399,0.241,"APATITE"
"2957","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.181,0,0.07703752,0,0.086,55.018,0,0.042,0,0.03,41.74,0.576209407817906,2.402,0.232,"APATITE"
"2958","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.171,0.000156245236674595,0,0,0.183,54.694,0.05,0.084,0,0.053,42.205,0.525533044263483,2.514,0.24,"APATITE"
"2959","[19291] TEIBER H. (2015)","samp. GM1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.173,0,0,0,0.1,54.513,0.07,0,0,0.034,41.926,0.541844648288553,2.443,0.258,"APATITE"
"2960","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.108,0,0,0,0.319,54.876,0.318,0.058,0,0.173,42.615,0.53822002656693,2.528,0.231,"APATITE"
"2961","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.122,0,0.001109,0.01,0.207,54.786,0.0434,0.073,0,0.161,42.895,0.460211068531544,2.704,0.205,"APATITE"
"2962","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.131,0,0,0,0.303,54.796,0.02,0.103,0,0.166,42.648,0.497944959257504,2.611,0.231,"APATITE"
"2963","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.101,0,0.019,0,0.307,54.733,0.025,0.087,0,0.132,42.727,0.494453677183128,2.616,0.227,"APATITE"
"2964","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.093,0,0,0,0.216,55.123,0.022,0,0,0.13,42.814,0.382659904988162,2.868,0.216,"APATITE"
"2965","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.143,0.062,0.02,0,0.389,54.952,0.06,0.09,0,0.116,42.107,0.518582640307994,2.575,0.195,"APATITE"
"2966","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.128,0,0.0122361440048145,4e-04,0.203,55.622,0.02,0.075,0,0.098,42.925,0.439097550178486,2.806,0.161,"APATITE"
"2967","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.08,0.0156,0,0,0.236,54.35,0.012032,0.083,0,0.121,43.008,0.558311768122711,2.46,0.237,"APATITE"
"2968","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.101,0,0,0,0.119,55.321,0.015,0.111,0,0.153,43.19,0.504557949570355,2.631,0.225,"APATITE"
"2969","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.068,0,0.025,0,0.33,55.571,0,0.078,0,0.171,43.164,0.51729409196064,2.625,0.209,"APATITE"
"2970","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.137,0.03,0.06321137,0,0.234,54.882,0.064,0.087,0.07,0.138,42.498,0.486054410813934,2.648,0.195,"APATITE"
"2971","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.163,0.000208197412051257,0,0,0.287,55.101,0.01,0.064,0,0.104,41.871,0.496885676882878,2.619,0.183,"APATITE"
"2972","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.103,0.12,0.063,0.00966666666666667,0.281,54.907,0.048,0.066,0.011,0.184,42.032,0.509864086474739,2.584,0.2,"APATITE"
"2973","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.166,0.013,0,0,0.333,55.124,0.006,0.095,0,0.117,41.973,0.488312201874051,2.623,0.236,"APATITE"
"2974","[19291] TEIBER H. (2015)","samp. GM1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.188,0.0698,0.001191,0,0.278,54.715,0.273,0,0.00697780529284412,0.106,42.316,0.52282776306674,2.536,0.229,"APATITE"
"2975","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.47,0,0,0,0.181,54.723,0.09,0,0.021,0.122,42.482,0.448160993971559,2.8,0.081,"APATITE"
"2976","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.427,0.000930825960452491,0.005677,0,0.209,54.337,0.02,0,0.023,0.144,42.745,0.429258477966994,2.831,0.085,"APATITE"
"2977","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.244,0,0,0,0.145,54.514,0.01,0,0,0.1,41.822,0.489753116895584,2.648,0.113,"APATITE"
"2978","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.709,0,0.1,0,0.751,53.423,0.5562,0.035,0.039498,0.169,41.418,0.514923109292822,2.553,0.154,"APATITE"
"2979","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.277,0.094,0.05,0,0.267,54.982,0.29,0.042,0,0.146,41.713,0.508529678701581,2.634,0.107,"APATITE"
"2980","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.549,0,0.076,0.009,0.143,54.259,0.27,0,0.03,0.109,41.521,0.419335468010433,2.792,0.111,"APATITE"
"2981","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.549,0.07,0.004774,0,1.715,53.495,0.25,0,0.028879,0.137,40.762,0.593702444480816,2.397,0.162,"APATITE"
"2982","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.563,0.17,0.1465,0.108,1.593,53.705,0.47,0,0.029532,0.103,41.456,0.545266418423236,2.52,0.168,"APATITE"
"2983","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.297,0,0.0122361440048145,0,0.536,54.142,0.21,0.062,0.011,0.122,41.58,0.438500302146244,2.729,0.149,"APATITE"
"2984","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.2,0.502,15.19,0.024,1.203,53.505,0.5236,0,1,0.141,40.745,0.583153529774462,2.434,0.135,"APATITE"
"2985","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.55,0,0,0,0.138,54.643,0.036,0,0.098,0.138,41.371,0.44789158091808,2.749,0.104,"APATITE"
"2986","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.593,0,0,0,0.099,54.55,0.008,0,0.069,0.116,40.915,0.503187526068335,2.621,0.091,"APATITE"
"2987","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.158,0,0.009,0,0.19,54.757,0.083,0.065,0.0022,0.141,42.214,0.431002881444822,2.804,0.094,"APATITE"
"2988","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.168,0,0.04460692,0,0.132,55.073,0,0.048,0.002,0.116,42.381,0.510939524451463,2.654,0.095,"APATITE"
"2989","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.295,0,0,0,0.14,54.992,0.1464,0.048,0.00256088634970565,0.08,41.952,0.488788303619601,2.673,0.118,"APATITE"
"2990","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.264,0.00201867904578422,0.05,0,0.133,55.001,0.226,0,0.072,0.126,41.648,0.494685520541243,2.645,0.123,"APATITE"
"2991","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.237,0,0,0,0.126,54.717,0,0,0,0.117,41.932,0.506468494487348,2.617,0.123,"APATITE"
"2992","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.367,0,0.03,0,0.387,54.373,0.3,0.069,0,0.163,41.972,0.469829929075762,2.71,0.109,"APATITE"
"2993","[19291] TEIBER H. (2015)","samp. GM384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.376,0,0.011,0,0.322,54.026,0.403,0,0,0.137,41.894,0.475354843982951,2.673,0.11,"APATITE"
"2994","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.284,0.0023,0,0,0.236,55.631,0.048517,0.078,0,0.049,41.954,0.489487832156665,2.596,0.313,"APATITE"
"2995","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.232,0,0.0018,0,0.295,55.461,0.05,0.055,0,0.025,42.362,0.524756016611891,2.53,0.289,"APATITE"
"2996","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.349,0.034,0.02,0.02,0.191,55.716,0.048,0.045,0,0.055,41.903,0.435366153491939,2.702,0.319,"APATITE"
"2997","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.101,0,0,0,0.148,55.502,0.012,0.099,0,0.061,42.604,0.452621526465934,2.623,0.406,"APATITE"
"2998","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.348,0,0.01,0,0.225,55.286,0,0.068,0,0.066,42.601,0.439332739451569,2.647,0.428,"APATITE"
"2999","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.171,0,0,0,0.09,55.32,0.039,0.088,0,0.049,42.838,0.533160204464341,2.458,0.394,"APATITE"
"3000","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.057,0.005,0,0,0.122,55.151,0.0624,0.104,0,0.066,43.292,0.61295750794865,2.282,0.42,"APATITE"
"3001","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.083,0,0.00209652128529743,0,0.125,55.581,0.02,0.121,0.01,0.081,42.787,0.625237905695231,2.233,0.469,"APATITE"
"3002","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.084,0,0,0,0.106,55.846,0.012,0.062,0,0.068,42.111,0.568131081711731,2.382,0.395,"APATITE"
"3003","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.067,0,0,0,0.15,53.601,0.118,0.165,0,0.047,41.9,0.503595059705428,2.411,0.402,"APATITE"
"3004","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.05,0,0,0,0.109,54.405,0.027,0.129,0,0.039,42.27,0.484599842974749,2.484,0.42,"APATITE"
"3005","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.261,0,0,0,0.23,55.057,0.115377777777778,0.109,0,0.082,41.669,0.512006992961008,2.473,0.387,"APATITE"
"3006","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.306,0,0,0,0.232,55.753,0.21,0.084,0,0.101,42.526,0.513859591771141,2.505,0.425,"APATITE"
"3007","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.13,0.000930825960452491,0.012,0,0.148,55.797,0.048,0.098,0,0.068,42.485,0.410608087983295,2.718,0.413,"APATITE"
"3008","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.064,0,0,0,0.13,55.975,0.143677011190928,0.12,0,0.073,42.86,0.509473710461655,2.539,0.387,"APATITE"
"3009","[19291] TEIBER H. (2015)","samp. GM451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIORITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.143,0.001,0.001,0,0.177,55.318,0.026,0.083,0,0.08,43.179,0.549026887632845,2.411,0.449,"APATITE"
"3010","[19291] TEIBER H. (2015)","samp. GM270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.592,0.049,0.004,0.042,0.07,54.883,0,0.035,0,0.048,41.472,0,3.737,0.06,"APATITE"
"3011","[19291] TEIBER H. (2015)","samp. GM270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.686,0,0,0.01,0.121,54.675,0.03,0,0,0,41.877,0.0188314819017737,3.703,0.034,"APATITE"
