"CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","C(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","O(WT%)","MG(WT%)","K(WT%)","MG(PPM)","AL(PPM)","AR40(MOL/G)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","AG(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","AU(PPM)","TH(PPM)","U(PPM)","SR87_SR86","RB87_SR86","D18O(‰SMOW)","D18O(‰VSMOW)","DD(‰)","DD(‰VSMOW)","AGE(MA)",
"[84] CONRAD M. E. (1997)","samp. 4-5757","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1755","1755","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","","","",
"[84] CONRAD M. E. (1997)","samp. 4-5884","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1793","1793","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","-77","","",
"[84] CONRAD M. E. (1997)","samp. 4-6189","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1887","1887","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","-44","","",
"[84] CONRAD M. E. (1997)","samp. 4-6550","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1996","1996","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","","","",
"[268] HAY R. L. (1972)","samp. 2","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PAHALA ASH MEMBER","CRATER","19.4","19.4","-155.27","-155.27","subaerial","1212","1212","BASALT","","","","extensively altered","PALAGONITE","","","","","secondary","29.45","3.68","17.12","","","16.29","","1.82","1.7","1.38","0.08","","","","0.11","0.22","0.23","","14.46","13.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[268] HAY R. L. (1972)","samp. 3","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PAHALA ASH MEMBER","CRATER","19.4","19.4","-155.27","-155.27","subaerial","1212","1212","BASALT","","","","extensively altered","PALAGONITE","","","","","secondary","24.5","3.58","19.96","","","15.22","","2.53","1.51","1.94","0.19","","","","0.08","0.23","0.23","","14.22","16.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[268] HAY R. L. (1972)","samp. 4","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PAHALA ASH MEMBER","CRATER, NORTHEAST OF PAHALA","19.4","19.4","-155.27","-155.27","subaerial","","","BASALT","","","","extensively altered","PALAGONITE","","","","","secondary","34.57","3.23","15.64","","","13.96","","1.64","2.06","2.79","0.11","","","","0.12","0.22","0.12","","11.09","14.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[307] HAY R. L. (1968)","samp. 1","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","KOKO CRATER, WESTERN SIDE OF CONE","21.29","21.29","-157.64","-157.64","subaerial","","","BASALT, ALKALINE","DENSE","","","extensively altered","PALAGONITE","","","","","secondary","47.7","4.1","9.3","","14.1","","","","5.4","1.7","","","","","0.3","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[307] HAY R. L. (1968)","samp. 2","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","KOKO CRATER","21.29","21.29","-157.64","-157.64","subaerial","","","BASALT, ALKALINE","POROUS","","","extensively altered","PALAGONITE","","","","","secondary","41.8","4.3","9","","18.1","","","","2.5","7.8","","","","","1","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[307] HAY R. L. (1968)","samp. 3","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","PALI VENT (VENT 14), RIM OF KOOLAU CALDERA","21.34","21.34","-157.85","-157.85","subaerial","","","BASALT, ALKALINE","DENSE","","","extensively altered","PALAGONITE","","","","","secondary","36.9","4.6","8.4","","23.8","","","","3.7","1.2","","","","","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
