"","SAMPLE","MINERAL","GROUP","As","W","Fe","Co","Ni","Cu","Zn","Bi","Te","Pt","Au","Mo","S","Pb","Ag","Sb","Cr","V","Se","Mn","Cd","Hg"
"17","Escorpião","GALENA","SULFIDE",0,0,0,0.01,0,0.01,0,0,0.04,0,0,0.88,13.37,85.78,0.01,0,0,0,0.041,0,0,0
"18","Valdette","GALENA","SULFIDE",0,0.01,0.24,0,0.01,0.01,0.11,0,0.01,0,0.01,0.87,12.98,84.93,0,0,0,0,0.041,0,2.11,0
"19","Serra","GALENA","SULFIDE",0.02,0.01,0.02,0.01,0.01,0.01,0,1.84,0.03,0.01,0,0.85,13.06,82.48,0.78,0,0.0065,0,0.026,0,0.251,0
"20","Serra","GALENA","SULFIDE",0,0.01,0.31,0.01,0.01,0.02,0,0.36,0.05,0.01,0.01,0.87,13.33,84.54,0.24,0.01,0,0.01,0.041,0,0.251,0
"21","Serra","GALENA","SULFIDE",0,0,0.02,0.01,0,0.02,0,4.66,0.03,0,0,0.86,13.89,77.14,2.04,0,0,0.01,0.039,0,1.213,0
"22","Meio","GALENA","SULFIDE",0,0.02,0.2,0.01,0.01,0.28,0.01,0.02,0.02,0,0,0.95,13.44,82.61,0.02,0,0.01,0,0.026,0,0.037,0
"23","Meio","GALENA","SULFIDE",0,0,0.05,0,0.02,0.01,0,0,0.03,0,0,0.95,13.6,83.61,0,0,0.01,0.01,0.039,0,0.219,0
"24","Come Quieto","CHALCOPYRITE","SULFIDE",0,0,30.95,0.03,0.01,35.39,0.02,0,0.01,0,0,0.02,34.19,0.1,0.01,0,0,0,0.004,0,0.031,0
"25","Mãe de Leite","CHALCOPYRITE","SULFIDE",0,0,30.02,0.01,0.01,34.42,1.34,0,0,0,0,0.03,33.77,0.11,0.01,0.01,0.02,0,0.004,0,0.058,0
"26","Valdette","CHALCOPYRITE","SULFIDE",0.01,0.01,28.88,0.02,0.02,33.4,2.47,0,0,0,0,0.08,34.44,0.12,0.02,0,0,0,0,0,0,0
"27","Serra","CHALCOPYRITE","SULFIDE",0.02,0,30.72,0.01,0,35.12,0.04,0,0.01,0,0,0.06,33.44,0.12,0.01,0.02,0.01,0,0,0,0.042,0
"28","Serra","CHALCOPYRITE","SULFIDE",0,0.01,30.59,0.04,0.01,34.84,0.05,0,0.02,0.02,0.01,0.04,33.45,0.1,0.01,0.01,0,0.002,0,0,0.036,0
"29","Serra","CHALCOPYRITE","SULFIDE",0.01,0,30.58,0.03,0,33.82,0.04,0,0.01,0,0,0.05,34.26,0.13,0.01,0.01,0,0,0,0,0.042,0
"30","Serra","CHALCOPYRITE","SULFIDE",0,0,30.55,0.03,0.01,34.56,0.02,0.01,0.01,0.01,0,0.05,34.89,0.12,0.02,0,0,0,0,0,0.052,0
"31","Meio","CHALCOPYRITE","SULFIDE",0.02,0,30.66,0.03,0,34.43,0.03,0,0.01,0,0,0.04,34.48,0.12,0.01,0.01,0.01,0.002,0.007,0,0,0
"32","Come Quieto","SPHALERITE","SULFIDE",0.01,0,0.62,0.01,0.02,0.02,66.09,0,0,0,0,0.12,32.94,0.09,0,0,0.0015,0,0.007,0,0.251,0
"33","Mãe de Leite","SPHALERITE","SULFIDE",0,0,0.52,0.01,0.02,0.05,65.68,0,0.01,0.01,0.02,0.12,32.13,0.08,0,0,0.02,0,0.021,0,1.041,0
"34","Valdette","SPHALERITE","SULFIDE",0.01,0,0.19,0,0,0.07,65.41,0,0,0.02,0,0.18,32.17,0.08,0,0,0.0015,0,0.015,0,1.213,0
"35","Galena","SPHALERITE","SULFIDE",0.01,0,0.76,0.01,0.01,0.12,63.41,0,0,0,0,0.11,32.33,0.05,0,0,0.0015,0.01,0.025,0,1.213,0
"36","Serra","SPHALERITE","SULFIDE",0,0.01,1.5,0,0.01,0.93,64.06,0,0,0,0,0.13,32.01,0.12,0,0,0,0,0.012,0.046,1.041,0
"37","Serra","SPHALERITE","SULFIDE",0,0,0.74,0.02,0,0.01,66.61,0,0,0,0,0.2,31.66,0.09,0.01,0,0.01,0,0.021,0,1.213,0
"38","Meio","SPHALERITE","SULFIDE",0,0,0.26,0.01,0.01,0.08,65.69,0,0,0,0,0.15,33.03,0.05,0,0.01,0.005,0,0.028,0,1.041,0
"39","Meio","SPHALERITE","SULFIDE",0.02,0.02,0.25,0.01,0.01,0.07,66.17,0,0,0,0,0.16,33.25,0.08,0,0,0,0,0.003,0,1.213,0
"40","Serra","AIKINITE","SULFIDE",0.01,0,0.308,0,0,11.04,0,36.403,0,0,0,0.578,16.652,34.195,0,0.01,0,0,0.126,0,0.528,0
"41","ek65e 1c 1","PYRITE","SULFIDE",0,0.013,46.37,0.05,0,0.01,0,0.12,0.01,0,0,0.11,53.32,0.09,0,0.015,0,0,0,0,0,0
"42","ek65e 1c 2","PYRITE","SULFIDE",0,0.009,46.17,0.16,0.02,0.01,0,0.13,0.057,0.021,0,0.16,53.51,0.06,0,0.02,0.01,0,0.022,0,0.006,0
"43","ek65e 1c 3","PYRITE","SULFIDE",0.01,0,45.68,0.06,0.04,0,0,0.17,0,0,0,0.11,53.06,0.07,0,0,0,0.01,0.008,0,0,0
"44","ek65e 2c 1","PYRITE","SULFIDE",0.03,0.005,46.49,0.08,0,0.02,0,0.03,0,0,0,0.12,53.57,0.22,0,0,0.02,0.01,0.006,0,0.105,0
"45","ek65e 2c 2","PYRITE","SULFIDE",0.02,0,46.79,0.04,0.03,0.02,0,0.16,0.01,0.02,0,0.07,53.83,0.08,0,0,0,0.01,0.025,0,0,0
"46","ek65e 2c 3","PYRITE","SULFIDE",0,0.013,46.46,0.05,0,0,0.02,0.19,0.05,0,0,0.16,53.76,0.14,0.05,0.032,0,0,0.003,0,0.014,0
"47","ek65e 2c 4","PYRITE","SULFIDE",0.11,0,46.56,0.03,0,0.01,0,0.11,0.051,0,0,0.16,53.63,0.09,0.01,0,0,0.01,0.006,0,0.105,0
"48","ek65e 2c 5","PYRITE","SULFIDE",0.08,0.044,46.17,0.07,0.02,0,0.01,0.2,0,0,0,0.12,53.42,0.05,0,0.02,0.01,0.01,0.01,0,0.027,0
"49","ek65e 3c 1","PYRITE","SULFIDE",0.04,0.002,46,0.18,0.42,0.04,0.01,0.17,0.01,0.021,0,0.13,53.68,0.2,0.04,0.01,0.01,0,0.022,0,0.014,0
"50","ek65e 3c 2","PYRITE","SULFIDE",0,0,46.28,0.18,0.1,0,0,0.06,0,0,0,0.07,53.03,0.13,0.01,0,0,0.01,0.009,0,0.001,0
"51","ek65e 3c 3","PYRITE","SULFIDE",0.34,0.042,46.39,0.07,0,0.01,0,0.12,0.026,0.007,0,0.16,53.2,0.1,0.01,0.02,0.01,0.01,0.019,0,0.005,0
"52","ek65e 3c 4","PYRITE","SULFIDE",0,0,46.51,0.08,0.02,0.02,0.03,0.12,0,0,0,0.12,53.24,0.04,0,0,0.01,0,0,0,0,0
"53","ek65e 3c 5","PYRITE","SULFIDE",0.07,0.012,46.42,0.09,0,0,0,0.13,0.01,0,0,0.09,53.57,0.07,0.01,0.011,0,0,0.012,0,0.031,0
"54","ek65e 4c 1","PYRITE","SULFIDE",0.08,0.021,46.41,0.07,0.03,0.06,0,0.08,0,0,0,0.09,53.49,0.12,0,0,0,0,0,0,0,0
"55","ek65e 4c 2","PYRITE","SULFIDE",0.3,0,46.48,0.03,0.02,0.03,0.02,0.21,0.01,0,0,0.12,53.37,0.1,0,0.01,0.01,0,0,0,0.031,0
"56","ek65e 4c 3","PYRITE","SULFIDE",0,0,46.46,0.07,0.04,0.03,0,0.12,0,0,0,0.12,53.87,0.09,0,0.002,0,0,0.002,0,0,0
"57","ek65e 4c 4","PYRITE","SULFIDE",0.02,0,46.63,0.06,0.04,0.06,0,0.19,0.01,0,0,0.11,53.69,0.14,0,0.001,0,0,0.025,0,0.028,0
"58","ek65e 4c 5","PYRITE","SULFIDE",0.25,0,46.42,0.05,0.02,0.02,0.02,0.21,0.008,0.055,0,0.2,53.33,0.09,0,0.005,0,0,0.007,0,0.737,0
"59","ek68b 2c 1","PYRITE","SULFIDE",0,0,46.08,0.03,0.01,0.12,0.01,0.16,0.01,0,0,0.07,53.23,0.19,0,0.038,0,0.01,0,0,0.096,0
"60","ek68b 2c 2","PYRITE","SULFIDE",0.05,0,46.02,0.05,0.02,0.16,0,0.07,0,0,0,0.13,53.09,0.16,0,0,0.02,0,0,0,0.07,0
"61","df1 1","PYRITE","SULFIDE",0.13,0,46.65,0.04,0.03,0,0,0.19,0,0.021,0,0.07,53.17,0.1,0,0.005,0.01,0,0,0,0.001,0
"62","df1 2","PYRITE","SULFIDE",0.45,0,45.89,0.03,0.01,0.01,0,0.12,0,0,0,0.09,52.86,0.17,0,0.011,0.01,0,0,0,0,0
"63","df1 3","PYRITE","SULFIDE",0.21,0.013,46.37,0.07,0.03,0,0,0.11,0.003,0,0,0.11,53.04,0.08,0,0.005,0.02,0,0,0,0.027,0
"64","df1 4","PYRITE","SULFIDE",0.32,0,45.96,0.07,0,0,0,0.17,0.026,0,0,0.18,52.67,0.15,0.02,0,0,0,0.025,0,0,0
"65","df1 5","PYRITE","SULFIDE",0.01,0,46.64,0.04,0.02,0.03,0.04,0.14,0.008,0,0,0.07,53.28,0.03,0,0,0,0,0.026,0,0.009,0
"66","df1 6","PYRITE","SULFIDE",0.29,0.046,46.21,0.04,0.01,0.01,0,0.16,0.021,0,0,0.12,52.88,0.1,0.01,0,0.01,0.01,0,0,0.048,0
"67","df1 7","PYRITE","SULFIDE",0.44,0,46.54,0.05,0.04,0.04,0.01,0.11,0,0.008,0,0.13,52.74,0.13,0,0,0.01,0,0.005,0,0,0
"68","df1 8","PYRITE","SULFIDE",0,0,46.17,0.06,0.03,0.01,0.01,0.07,0.03,0.007,0,0.12,52.86,0.13,0.03,0,0,0.01,0.025,0,0.027,0
"69","ek66a 1c 10","PYRITE","SULFIDE",0.4,0.01,46.66,0.05,0,0.08,0,0.08,0,0.02,0,0.07,53.23,0.21,0.01,0,0,0,0.005,0,0.059,0
"70","EK-16_C1_Py 1","PYRITE","SULFIDE",0,0,44.597,0.047,0.021,0.039,0,0,0.05,0,0,0.16,52.184,0.117,0.021,0.01,0.01,0,0,0,0,0
"71","EK-16_C1_Py 3","PYRITE","SULFIDE",0,0.033,45.816,0.025,0.023,0.049,0,0,0.094,0,0,0.12,52.341,0.137,0,0.005,0.01,0,0.015,0,0.052,0
"72","EK-16_C2_Py 4","PYRITE","SULFIDE",0,0.007,45.184,0.014,0,0.048,0.025,0,0,0,0,0.08,52.493,0.187,0,0,0.011,0,0,0,0.012,0
"73","EK-16_C2_Py 5","PYRITE","SULFIDE",0,0.023,45.109,0.025,0.021,0.04,0,0,0,0.002,0,0.07,52.495,0.189,0.011,0.008,0,0,0.012,0,0,0
"74","EK-16_C2_Py 6","PYRITE","SULFIDE",0,0,44.759,0.043,0.038,0.031,0,0,0,0,0.011,0.13,52.711,0.204,0,0.021,0,0,0.004,0,1.213,0
"75","16-108_C1_Py 1","PYRITE","SULFIDE",0,0,45.769,0.033,0.015,0.031,0.065,0,0.036,0,0,0.09,52.235,0.085,0,0,0.02,0,0.005,0,0.016,0
"76","16-108_C1_Py 2","PYRITE","SULFIDE",0,0,45.459,0.034,0,0.019,0.093,0,0,0,0,0.09,52.208,0.2,0,0,0.02,0,0.012,0,0,0
"77","16-108_C1_Py 3","PYRITE","SULFIDE",0,0.001,45.471,0.063,0.017,0.03,0,0,0,0,0,0.08,52.094,0.174,0,0,0,0,0,0,0.031,0
"78","DED-411_C1_Py 1","PYRITE","SULFIDE",0,0,55.965,0.169,0.106,0.02,0,0,0,0.006,0,0.08,38.937,0.242,0,0.01,0.01,0,0,0,0.669,0
"79","DED-411_C2_Py 2","PYRITE","SULFIDE",0,0,56.388,0.173,0.071,0.022,0,0.065,0,0,0,0.11,38.891,0.107,0,0,0,0,0.016,0,1.108,0
"80","DED-411_C2_Py 3","PYRITE","SULFIDE",0,0,56.837,0.145,0.083,0.092,0,0,0.01,0,0,0.12,38.89,0.19,0.007,0,0.01,0,0,0,0,0
"81","DED-411_C2_Py 4","PYRITE","SULFIDE",0,0,56.779,0.177,0.106,0.05,0.016,0.047,0.036,0,0,0.12,38.431,0.111,0.016,0,0,0,0,0,0,0
"82","DED-411_C2_Py 5","PYRITE","SULFIDE",0,0,56.207,0.177,0.186,0.018,0,0.022,0.027,0,0,0.18,39.312,0.159,0,0.014,0,0,0.005,0,0.06,0
"83","DED-412_C1_Py 1","PYRITE","SULFIDE",0,0,44.698,0.066,0.017,0.022,0.053,0,0,0,0,0.08,51.707,0.191,0.01,0.01,0,0,0.002,0,0,0
"84","DED-412_C1_Py 2","PYRITE","SULFIDE",0,0.007,44.553,0.038,0.021,0.009,0.008,0,0.002,0,0,0.08,51.585,0.191,0,0,0,0,0,0,0,0
"85","DED-412_C1_Py 3","PYRITE","SULFIDE",0,0.02,41.841,0.013,0,0.067,0.013,0,0.007,0.02,1.955,0.09,49.161,0.213,1.767,0.01,0.01,0,0,0,1.041,0
"86","DED-412_C1_Py 4","PYRITE","SULFIDE",0,0.01,44.724,0.043,0.004,0,0.006,0,0.006,0,0,0.08,51.743,0.132,0.012,0.009,0.005,0.01,0,0,0.014,0
"87","DED-412_C1_Py 5","PYRITE","SULFIDE",0,0,44.562,0.037,0.028,0.03,0,0,0,0,0,0.13,50.829,0.281,0.005,0.011,0.0065,0.002,0,0,0.105,0
"88","DED-412_C1_Py 6","PYRITE","SULFIDE",0,0,44.77,0.068,0.01,0.018,0,0,0,0.021,0,0.07,51.38,0.146,0.014,0.007,0.02,0,0.023,0,0.198,0
"89","EK-37_C1_Py 1","PYRITE","SULFIDE",0,0.04,45.17,0.042,0.007,0.024,0,0,0.065,0,0,0.16,51.001,0.153,0,0,0.01,0,0,0,0,0
"90","EK-37_C2_Py 2","PYRITE","SULFIDE",0,0,44.56,0.037,0,0.037,0,0,0.002,0,0,0.09,51.138,0.239,0,0,0,0,0.01,0,0.042,0
"91","EK-37_C2_Py 3","PYRITE","SULFIDE",0,0,44.536,0.041,0.013,0.004,0.063,0,0.01,0,0.007,0.08,50.928,0.271,0.016,0,0.0065,0,0,0,0.037,0
"92","EK-37_C2_Py 4","PYRITE","SULFIDE",0,0,45.193,0.027,0.028,0.024,0.067,0.018,0,0,0,0.13,51.074,0.217,0.015,0.001,0.02,0.01,0.022,0,0.012,0
"93","EK-37_C2_Py 5","PYRITE","SULFIDE",0,0,45.029,0.073,0.006,0,0.011,0,0.005,0.022,0,0.08,50.454,0.26,0.009,0.018,0.01,0,0.012,0,0,0
"94","EK-37_C2_Py 6","PYRITE","SULFIDE",0,0,44.777,0.077,0.014,0.044,0.05,0.008,0.002,0.01,0,0.09,51.041,0.264,0,0,0.0065,0,0.018,0,0.302,0
"95","EK-37_C2_Py 7","PYRITE","SULFIDE",0,0.002,44.458,0.015,0.028,0.001,0,0,0,0.01,0.014,0.12,50.538,0.133,0,0.02,0,0,0,0,0.251,0
"96","EK-37_C3_Py 8","PYRITE","SULFIDE",0.004,0,44.546,0.057,0.035,0.044,0.086,0,0.015,0,0,0.09,50.839,0.072,0,0,0.02,0,0.016,0,0.032,0
"97","EK-37_C3_Py 10","PYRITE","SULFIDE",0.02,0,44.648,0.04,0.011,0.004,0,0,0.008,0,0,0.08,50.633,0.223,0,0,0.01,0,0,0,0.014,0
"98","EK-37_C3_Py 11","PYRITE","SULFIDE",0,0.002,45.079,0.028,0,0.043,0,0,0,0,0.057,0.07,50.776,0.224,0,0,0,0,0,0,0.036,0
"99","EK-15_C1_Py 1","PYRITE","SULFIDE",0,0.043,44.452,0.143,0.017,0.081,0.018,0,0,0.004,0,0.08,50.405,0.16,0,0,0,0,0,0,0,0
"100","EK-15_C2_Py 5","PYRITE","SULFIDE",0,0.018,44.763,0.049,0.051,0.038,0,0,0.01,0,0,0.13,49.877,0.209,0,0,0,0,0.013,0,0.052,0
"101","EK-15_C3_Py 7","PYRITE","SULFIDE",0,0,44.954,0.107,0.043,0.043,0,0,0,0,0,0.08,50.489,0.158,0,0,0,0,0.011,0,0.028,0
"102","DED-413_C1_Py 1","PYRITE","SULFIDE",0,0,44.714,0.065,0,0.005,0.034,0,0,0,0,0.08,49.934,0.092,0,0.03,0.01,0,0,0,0.008,0
"103","ek216d 3c 1","ARSENOPYRITE","SULFIDE",42.54,0.013,35.5265,0.035,0.009,0.0075,0.043,0.024,0,0.01,0,0.16,22.049,0.0795,0.011,0.014,0.0065,0,0.126,0,0,0
"104","ek216d 3c 5","ARSENOPYRITE","SULFIDE",41.874,0.116,36.012,0.012,0.012,0.01,0.032,0,0,0,0,0.15,22.196,0,0,0.052,0,0,0.126,0,0,0
"105","ek216d 1c 2","ARSENOPYRITE","SULFIDE",41.7215,0,35.205,0.049,0.005,0.018,0.0135,0.0015,0.01,0,0.015,0.95,22.201,0.112,0.004,0,0.0015,0.001,0.126,0,0.005,0
"106","ek66a 1c 7","CHALCOPYRITE","SULFIDE",0.007,0.013,29.853,0.008,0,33.367,0,0.064,0.036,0,0,0.18,35.232,0.04,0.03,0,0.005,0.016,0.015,0,0.047,0
"107","ek66a 1c 9","CHALCOPYRITE","SULFIDE",0,0,29.934,0.039,0,33.799,0.04,0.102,0,0,0,0.08,34.642,0.023,0.022,0.011,0,0,0.004,0,0,0
"108","ek67b 1c 2","CHALCOPYRITE","SULFIDE",0,0,29.565,0.205,0.573,33.001,0,0.072,0.064,0,0,0.18,35.062,0.109,0.007,0.02,0.028,0,0.007,0,0,0
"109","ek67b 3c 3","CHALCOPYRITE","SULFIDE",0.048,0.018,29.525,0.164,0.326,33.532,0.124,0.066,0.03,0.021,0,0.18,35.019,0,0.017,0.008,0,0,0.029,0,0,0
"110","ek67b 5c 1","CHALCOPYRITE","SULFIDE",0,0,29.744,0.018,0.004,33.729,0.105,0.081,0,0,0,0.08,35.181,0.013,0.02,0.01,0,0.01,0.012,0,0.061,0
"111","ek67b 5c 4","CHALCOPYRITE","SULFIDE",0,0,29.989,0.037,0.061,33.712,0,0,0,0,0,0.13,35.393,0.059,0.019,0.015,0.013,0,0.029,0,0.006,0
"112","ek67b 5c 6","CHALCOPYRITE","SULFIDE",0.77,0,28.326,0.141,1.603,31.902,0,0.12,0.005,0,0,0.09,34.022,0.082,0.016,0.013,0,0.002,0.012,0,0.079,0
"113","ek67b 1c 9","CHALCOPYRITE","SULFIDE",0.064,0.01,29.701,0.179,0.374,33.073,0.073,0.039,0.008,0,0,0.08,34.786,0.061,0,0.015,0.011,0.002,0.016,0,0.032,0
"114","16-108_C1_Cpy 1","CHALCOPYRITE","SULFIDE",0,0,30.891,0.028,0,33.767,0.027,0,0,0,0,0.04,33.125,0.139,0,0.01,0.005,0,0.025,0,0,0
"115","16-108_C1_Cpy 2","CHALCOPYRITE","SULFIDE",0,0,30.474,0.07,0,34.277,0,0.018,0.01,0,0,0.07,33.325,0.235,0.04,0.01,0.02,0,0.012,0,0.028,0
"116","16-108_C1_Cpy 3","CHALCOPYRITE","SULFIDE",0,0,30.664,0.038,0.011,34.155,0.023,0,0,0,0,0.03,33.542,0.088,0.006,0.01,0.005,0,0.003,0,0.047,0
"117","ek67b 2c 3","SPHALERITE","SULFIDE",0.023,0,3.537,0.112,1.253,1.558,59.777,0.114,0.015,0,0,0.11,32.697,0.035,0,0.01,0.01,0,0.007,0.046,1.213,0
"118","DED-411_C1_Esf 1","SPHALERITE","SULFIDE",0,0,6.992,0.033,0,0.139,61.83,0,0.01,0,0,0.07,32.517,0.114,0,0,0.02,0,0.028,0,0.251,0
"119","JB-0905-3_C1_Sulf-1-1","ARSENOPYRITE","SULFIDE",44.327,0,34.373,0.007,0.028,0.055,0,0,0.005,0,0,0.95,19.032,0,0,0.055,0,0,0.189,0,0.016,0
"120","JB-0905-3_C1_Sulf-1-2","ARSENOPYRITE","SULFIDE",44.091,0.032,31.469,2.023,0,0.017,0.031,0,0,0.022,0,0.15,18.304,0,0.013,0.023,0.01,0,0.151,0.046,0,0
"121","JB-0905-3_C1_Sulf-1-3","ARSENOPYRITE","SULFIDE",43.432,0.037,31.143,2.157,0.072,0.028,0.007,0,0.002,0,0,0.15,18.666,0,0,0,0.0065,0,0.134,0,0.047,0
"122","JB-0905-3_C1_Sulf-1-4","ARSENOPYRITE","SULFIDE",43.058,0.029,33.485,0.115,0,0.006,0.031,0,0.005,0,0.018,0.18,18.593,0,0,0.047,0,0,0.2,0,0,0
"123","JB-0905-3_C1_Sulf-1-5","ARSENOPYRITE","SULFIDE",40.983,0.01,33.713,0.129,0,0,0,0,0,0,0.006,0.16,19.877,0,0,0.023,0,0.001,0.149,0,0.011,0
"124","JB-0905-3_C1_Sulf-2-1","ARSENOPYRITE","SULFIDE",43.083,0.054,33.436,0.113,0.067,0,0.008,0,0.001,0,0,0.95,19.491,0,0,0.086,0,0,0.18,0,0,0
"125","JB-0905-3_C1_Sulf-2-2","ARSENOPYRITE","SULFIDE",42.638,0,33.156,0.017,0.095,0.039,0,0,0.008,0.007,0.087,0.16,19.323,0,0,0.157,0.02,0,0.143,0,0,0
"126","JB-0905-3_C1_Sulf-2-3","ARSENOPYRITE","SULFIDE",43.043,0,33.089,0.03,0.01,0,0,0,0.01,0,0.124,0.18,19.222,0,0,0.022,0,0,0.122,0,0.078,0
"127","JB-0905-3_C1_Sulf-3-1","ARSENOPYRITE","SULFIDE",45.592,0,32.007,1.512,0,0.05,0,0,0.052,0,0.049,0.578,18.376,0,0,0.005,0,0,0.131,0,0.035,0
"128","JB-0905-3_C1_Sulf-3-2","ARSENOPYRITE","SULFIDE",45.76,0.007,30.782,2.192,0.142,0.057,0,0,0.023,0,0,0.95,18.194,0.053,0,0.003,0,0.01,0.143,0,0.009,0
"129","JB-0905-3_C1_Sulf-4-1","ARSENOPYRITE","SULFIDE",44.905,0,33.244,0.009,0.506,0.032,0,0,0,0,0.014,0.87,19.444,0,0,0.052,0.01,0,0.196,0,0.042,0
"130","JB-0905-3_C1_Sulf-4-2","ARSENOPYRITE","SULFIDE",45.175,0,33.14,0.084,0,0.054,0,0,0,0.055,0.004,0.18,19.225,0,0,0.151,0.02,0.01,0.192,0,0.042,0
"131","JB-0905-3_C1_Sulf-4-3","ARSENOPYRITE","SULFIDE",43.44,0.116,33.284,0.262,0,0,0,0,0,0,0.07,0.16,19.934,0,0,0.008,0.0065,0,0.126,0,0,0
"132","JB-0905-3_C1_Sulf-5-1","ARSENOPYRITE","SULFIDE",43.172,0.018,32.754,0.013,0.342,0.082,0,0,0.044,0.007,0.05,0.87,18.854,0,0,0.032,0,0,0.243,0,0.01,0
"133","JB-0905-3_C1_Sulf-5-2","ARSENOPYRITE","SULFIDE",42.595,0.046,33.476,0.082,0,0.042,0.007,0,0.04,0.006,0.001,0.18,19.359,0.023,0,0.051,0.028,0.01,0.209,0,0.001,0
"134","JB-0905-3_C1_Sulf-5-3","ARSENOPYRITE","SULFIDE",42.833,0.033,33.054,0.13,0.387,0.066,0,0,0,0.008,0.04,0.87,19.277,0.004,0,0.08,0,0,0.159,0,0,0
"135","JB-0905-3_C1_Sulf-6-1","ARSENOPYRITE","SULFIDE",42.37,0,33.647,0.33,0,0.048,0.034,0,0.024,0,0.034,0.95,20.001,0,0,0.028,0.0065,0,0.181,0,0,0
"136","JB-0905-3_C1_Sulf-6-2","ARSENOPYRITE","SULFIDE",42.87,0.052,33.503,0.405,0,0.074,0,0,0.01,0,0,0.578,19.381,0,0,0.007,0,0.01,0.147,0,0.004,0
"137","JB-0905-3_C1_Sulf-6-3","ARSENOPYRITE","SULFIDE",42.258,0.002,32.368,1.211,0.133,0.064,0,0,0,0,0,0.16,19.893,0,0,0.021,0.01,0,0.136,0,0.017,0
"138","JB-0906-11_C3_Sulf-1-13","COBALTITE","SULFIDE",44.256,0.034,5.493,23.766,8.985,0.027,0,0,0,0,0.021,0.16,19.951,0,0.04,0.014,0.01,0.01,0.184,0,0.019,0
"139","JB-0906-11_C3_Sulf-1-1","COBALTITE","SULFIDE",45.756,0.039,7.42,18.816,13.374,0.008,0,0,0,0.019,0.015,0.16,19.148,0,0,0.018,0.01,0,0.151,0,0,0
"140","JB-0906-11_C3_Sulf-1-2","COBALTITE","SULFIDE",45.361,0.024,7.684,17.587,14.734,0.002,0.026,0,0,0,0.01,0.18,19.271,0,0,0,0.01,0.01,0.166,0,0.048,0
"141","JB-0905-3_C1_Sulf-7-1","PYRITE","SULFIDE",0.006,0,43.989,0,0.063,0.085,0,0,0,0,0,0.2,49.824,0,0,0.001,0,0,0.009,0,0,0
"142","JB-0905-3_C1_Sulf-7-2","PYRITE","SULFIDE",0.013,0.002,43.769,0,0.024,0.005,0.025,0,0,0.003,0,0.12,49.495,0,0,0.038,0.005,0,0.003,0,0,0
