"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","FE","NI","CU","CO","ZN","AS","PB","S","GROUP"
"21","[425] DALRYMPLE G. B. (1976)","samp. A7-53-12","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / YURYAKU / DREDGE 53D / POST-SHIELD STAGE",NA,32.71,32.71,-172.2,-172.2,"subaquatic",NA,NA,"BASALT, ALKALINE",NA,NA,NA,"slightly altered","SAPONITE",NA,NA,NA,NA,"secondary",46.3,0.09,0,0.18,15.1,0.3,14.6,0.04,2.37,1.01,0.28,11.31,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"22","[425] DALRYMPLE G. B. (1976)","samp. A7-55-25","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / DAIKAKUJI / DREDGE 55D / POST-SHIELD STAGE",NA,32.14,32.14,-172.26,-172.26,"subaquatic",-1259,-1360,"BASALT, TRANSITIONAL","INTERGRANULAR TO INTERSERTAL, NONVESICULAR",NA,NA,NA,"SAPONITE",NA,NA,NA,NA,"secondary",44.5,1.57,6.1,0,12.3,0.38,6.8,0.03,3.59,1,0.13,28.05,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"23","[425] DALRYMPLE G. B. (1976)","samp. A7-55-29","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / DAIKAKUJI / DREDGE 55D / SHIELD STAGE",NA,32.12,32.12,-172.28,-172.28,"subaquatic",NA,NA,"THOLEIITE","INTERSERTAL, NONVESICULAR",NA,NA,"extensively altered","SAPONITE",NA,NA,NA,NA,"secondary",48,0,2.1,0,10.1,0.43,17.8,0,2.2,0.87,0,20.9,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"24","[425] DALRYMPLE G. B. (1976)","samp. A7-51-20","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / KINMEI / DREDGE 51D / POST-SHIELD STAGE",NA,33.69,33.69,-171.55,-171.55,"subaquatic",-1304,-1564,"BASALT, ALKALINE","INTERGRANULAR TO INTERSERTAL, VESICULAR",NA,NA,"slightly altered","MONTMORILLONITE","A7-51-20 G1",NA,NA,NA,"secondary",21.5,2.9,6.4,0,17.3,22.5,1.1,1.16,1.66,1.85,0.4,11.31,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"25","[425] DALRYMPLE G. B. (1976)","samp. A7-51-20","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / KINMEI / DREDGE 51D / POST-SHIELD STAGE",NA,33.69,33.69,-171.55,-171.55,"subaquatic",-1304,-1564,"BASALT, ALKALINE","INTERGRANULAR TO INTERSERTAL, VESICULAR",NA,NA,"slightly altered","MONTMORILLONITE","A7-51-20 G2",NA,NA,NA,"secondary",38.3,1.4,9.6,0.06,11.4,19.8,1.2,0.11,1.81,4.02,0.28,21.4,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"26","[425] DALRYMPLE G. B. (1976)","samp. A7-51-20","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / KINMEI / DREDGE 51D / POST-SHIELD STAGE",NA,33.69,33.69,-171.55,-171.55,"subaquatic",-1304,-1564,"BASALT, ALKALINE","INTERGRANULAR TO INTERSERTAL, VESICULAR",NA,NA,"slightly altered","MONTMORILLONITE","A7-51-20 G3",NA,NA,NA,"secondary",42.3,1.9,10.8,0,13.7,13.1,1.6,0,2.31,4.07,0.06,20.9,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"27","[425] DALRYMPLE G. B. (1976)","samp. A7-51-21","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / KINMEI / DREDGE 51D / POST-SHIELD STAGE",NA,33.69,33.69,-171.55,-171.55,"subaquatic",-1304,-1564,"BASALT, ALKALINE","INTERSERTAL TO INTERGRANULAR, VESICULAR",NA,NA,"slightly altered","MONTMORILLONITE","A7-51-21 G1",NA,NA,NA,"secondary",41.7,1.3,12.1,0,9.1,15.9,0.6,0.22,2.19,4.47,0.28,21.4,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"28","[425] DALRYMPLE G. B. (1976)","samp. A7-51-21","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / KINMEI / DREDGE 51D / POST-SHIELD STAGE",NA,33.69,33.69,-171.55,-171.55,"subaquatic",-1304,-1564,"BASALT, ALKALINE","INTERSERTAL TO INTERGRANULAR, VESICULAR",NA,NA,"slightly altered","MONTMORILLONITE","A7-51-21 G2",NA,NA,NA,"secondary",32.2,3.6,6.6,0.06,17.1,16.3,1.8,0,1.72,1.56,0.47,18,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"29","[425] DALRYMPLE G. B. (1976)","samp. A7-51-21","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / KINMEI / DREDGE 51D / POST-SHIELD STAGE",NA,33.69,33.69,-171.55,-171.55,"subaquatic",-1304,-1564,"BASALT, ALKALINE","INTERSERTAL TO INTERGRANULAR, VESICULAR",NA,NA,"slightly altered","MONTMORILLONITE","A7-51-21 G1",NA,NA,NA,"secondary",50,0,9.9,0,16.4,0.61,2.6,0,3.41,0.71,0.17,12.67,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"30","[425] DALRYMPLE G. B. (1976)","samp. A7-52-50","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / KINMEI / DREDGE 52D / POST-SHIELD STAGE",NA,33.73,33.73,-171.6,-171.6,"subaquatic",-877,-1008,"BASALT, ALKALINE","INTERGRANULAR, VESICULAR",NA,NA,"slightly altered","MONTMORILLONITE",NA,NA,NA,NA,"secondary",49.6,0,16.6,0.01,1.3,3.48,0,0.03,3.99,4.67,0.17,28.05,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
