"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","SOMA"
"143","75228","samp. BA54","FELDSPAR","ANORTHOCLASE","TRACHYTE, PERALKALINE",67.33,0.07,17.08,0.0086,1.92,0,0.03,0,6.05,7.07,0.15,0,0,0.006,0.015,0,0,0,0,0,0,0,99.7296
"144","75229","samp. BA07","FELDSPAR","ANORTHOCLASE","TRACHYTE, PERALKALINE",67.44,0,18.58,0,0.42,0.05,0,0,6.02,7.36,0,0,0,1e-05,0,0,0,0,0,0,0,0,99.87001
"145","75230","samp. BA07","FELDSPAR","ANORTHOCLASE","TRACHYTE, PERALKALINE",65.28,0,17.85,0.0184,0.34,0,0.04,0,15.35,0.85,0.16,0,0,0.0104,0,0,0,0,0,0,0,0,99.8988
"146","75231","samp. BA07","FELDSPAR","ANORTHOCLASE","TRACHYTE, PERALKALINE",64.52,0,18.17,0.0041,0.19,0,0,0.02,16.81,0.29,0.0179330822543353,0,0.027766,0,0.0046,0,0,0,0,0,0,0,100.054399082254
"147","77681","samp. M-4668","FELDSPAR","ANORTHOCLASE","BASALT",62.6,0.02,22.42,0.0502,0.19,3.19,0.01,0,3.57,7.1,0.00504448295668559,0,0.06,0,0.01,0,0,0,0,0,0,0,99.2252444829567
"148","79052","samp. TRACHYDACITE","FELDSPAR","ANORTHOCLASE","TRACHYDACITE",66.79,0.03,18.82,0,0.47,0.1,0.02,0,5.98,7.51,0.0124752194800217,0,0,0.01,0,0,0,0,0,0,0,0,99.74247521948
"149","79053","samp. TRACHYDACITE","FELDSPAR","ANORTHOCLASE","TRACHYDACITE",67.47,0.01,18.74,0,0.59,0.03,0.01,0.0028,6.33,7.19,0,0,0.011,0.003,0.018,0,0,0,0,0,0,0,100.4048
"150","79054","samp. TRACHYDACITE","FELDSPAR","ANORTHOCLASE","TRACHYDACITE",66.47,0,18.64,0.02,0.54,0,0.02,0,6.09,7.22,0.01,0,0.03,0.001,0.08,0,0,0,0,0,0,0,99.121
"151","79055","samp. TRACHYDACITE","FELDSPAR","ANORTHOCLASE","TRACHYDACITE",67.45,0.01,18.71,0,0.54,0.03,0,0.0087,5.98,7.33,0.01,0,0,0,0,0,0,0,0,0,0,0,100.0687
"152","79056","samp. TRACHYDACITE","FELDSPAR","ANORTHOCLASE","TRACHYDACITE",66.63,0.02,18.62,0.002,0.4,0.1,0,0,5.92,7.45,0,0,0,1e-05,0,0,0,0,0,0,0,0,99.14201
"153","79057","samp. TRACHYDACITE","FELDSPAR","ANORTHOCLASE","TRACHYDACITE",67.05,0,18.85,0.031125,0.51,0.01,0.02,0,6.25,7.36,0,0,0.0394,0.012,0.002,0,0,0,0,0,0,0,100.134525
"154","79058","samp. TRACHYDACITE","FELDSPAR","ANORTHOCLASE","TRACHYDACITE",67.09,0.01,18.79,0.0197,0.54,0,0,0,5.95,7.46,0,0,0,1e-05,0.02,0,0,0,0,0,0,0,99.87971
"155","80234","samp. AR45A-24","FELDSPAR","ANORTHOCLASE","MUGEARITE",64.84,0.023,20.67,0.006654,0.112,2.01,0,0,4.97,7.2,0.03,0,0,0,6e-04,0,0,0,0,0,0,0,99.862254
"156","80235","samp. AR45A-23","FELDSPAR","ANORTHOCLASE","MUGEARITE",65.11,0.031,20.49,0.0313,0.2242,1.9,0,0.0018,4.89,7.24,0,0,0.0032,0.006962,0,0,0,0,0,0,0,0,99.928462
"157","80246","samp. AR42A-15","FELDSPAR","ANORTHOCLASE","PANTELLERITE",68.12,0.19,18.32,0.02,0.37,0.16,0,0,5.69,7.43,0.053,0,0.074,0.002,0.0103,0,0,0,0,0,0,0,100.4393
"158","80248","samp. 2A-6","FELDSPAR","ANORTHOCLASE","PANTELLERITE",67.73,0.02,17.82,0.03,0.88,0.02,0,0.01,6.93,6.5,0.0255418247050231,0,0,0.01,0.02,0,0,0,0,0,0,0,99.995541824705
"159","80514","samp. N-047","FELDSPAR","ANORTHOCLASE","TRACHYTE",65.31,0.082,20.77,0,0.2,1.86,0,0.03,5,7.34,0,0,0.03,0.009,0.02,0,0,0,0,0,0,0,100.651
"160","80517","samp. N-233","FELDSPAR","ANORTHOCLASE","TRACHYTE",64.08,0.04,21.85,0,0.28,2.94,0,0.01,3.02,7.92,0,0,0.0597,0.001,0,0,0,0,0,0,0,0,100.2007
"161","86075","samp. PK-G-63","FELDSPAR","ANORTHOCLASE","HAWAIITE",63.38,0.08,21.75,0,0.27,2.8,0,0.001,3.69,7.57,0.15,0,0,0.002,0.007,0,0,0,0,0,0,0,99.7
"162","99880","samp. 351","FELDSPAR","LABRADORITE","SPESSARTITE",52.733,0.06,28.812,0,0.68,12.271,0.07,0,0.271,4.404,0.0359,0,0,0.001923,0.0063,0,0,0,0,0,0,0,99.345123
"163","99882","samp. 350","FELDSPAR","ANDESINE","MONZONITE",59.756,0.028,25.366,0.0185,0.3158,6.809,0.018,0.013,0.659,7.262,0,0,0.16,0.005,0.0521,0,0,0,0,0,0,0,100.4624
"164","99883","samp. 323","FELDSPAR","LABRADORITE","MONZODIORITE",55.037,0.075,27.677,0,0.88,10.437,0.058,0.026,0.582,5.319,0,0,0,1e-05,0.01,0,0,0,0,0,0,0,100.10101
"165","99885","samp. 323","FELDSPAR","ANORTHOCLASE","MONZODIORITE",63.232,0.04,22.213,0,0.12,2.959,0.025,0,2.332,8.108,0.05,0,0,0,0.062,0,0,0,0,0,0,0,99.141
"166","99886","samp. 508B","FELDSPAR","ANDESINE","MINETTE",57.69,0.09,25.736,0,0.4117,7.547,0.025,0.008,0.981,6.52,0.0171284764745074,0,0.04,0,0,0,0,0,0,0,0,0,99.0658284764745
"167","99887","samp. 508B","FELDSPAR","ANORTHOCLASE","MINETTE",62.42,0.028,22.463,0.01,0.26,4.406,0.023,0,2.626,7.363,0.01,0,0.23,0.044,0.019,0,0,0,0,0,0,0,99.902
"168","99890","samp. 250D","FELDSPAR","LABRADORITE","KERSANTITE",53.91,0.06,27.96,0.01,0.96,10.05,0.13,0,1.14,4.98,0.05,0,0.22,0.0087,0,0,0,0,0,0,0,0,99.4787
"169","99899","samp. 487","FELDSPAR","LABRADORITE","VOGESITE",53.675,0.048,28.952,0,0.9451375,11.139,0.083,0,0.7,4.716,0.0206432964957649,0,0.0075,0,0,0,0,0,0,0,0,0,100.286280796496
"170","99904","samp. 458","FELDSPAR","ANORTHOCLASE","MINETTE, RICHTERITE",67.612,0.045,19.558,0,0.31,0.003,0.038,0,1.8,10.296,0,0,0,0,0,0,0,0,0,0,0,0,99.662
"171","99905","samp. 468","FELDSPAR","LABRADORITE","KERSANTITE",52.149,0.115,29.668,0,0.76,12.752,0.118,0.001,0.53,3.681,0,0,0,0.01,0.01,0,0,0,0,0,0,0,99.794
"172","104478","samp. 1","FELDSPAR","ANORTHOCLASE","TRACHYTE",65.05,0.0605,20.58,0,0.3561,2.68,0,0.01,2.55,8.56,0,0,0,1e-05,0.006,0,0,0,0,0,0,0,99.85261
"173","106277","samp. 8","FELDSPAR","ANORTHOCLASE","TRACHYTE",65.25,0,20.27,0.00483333333333333,0.128730882747518,1.9,0,0,3.67,8.02,0.0882,0,0.064,0.01,0.021,0,0,0,0,0,0,0,99.4267642160809
