"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","AS_ppm","PBO","S","ZRO2","GROUP"
"22","[1321] IMSLAND P. (1984)","samp. JAN324","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"SYENITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.6,0,0.016204,0.0165,0.22,50.54,0.14,0.29,0.02959,0.33,40.11,0.317839683449148,3.28,0.4,0.01,0,0,0,0,0,0.08,0,"APATITE"
"23","[1321] IMSLAND P. (1984)","samp. JAN324","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"SYENITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.9,0.8,0.1108,0.055,7.83,45.28,0.3,0.39,0.3746,0.52,35.44,0.375016635810779,2.9,0.31,0.063,0,0,0,0,0,0.08,0.14,"APATITE"
"24","[1321] IMSLAND P. (1984)","samp. JAN329","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.25,0.0076,0.01,0,0.22,55.35,0.1,0.12,0,0.125,41.77,0.880565245753565,0.93,0.48,0,0,0,0,0,0,0,0,"APATITE"
"25","[1321] IMSLAND P. (1984)","samp. JAN329","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.24,0.02,0.0031,0.018,0.35,55.34,0.09,0.07,0,0.07,41.71,0.98,1.21,0.47,0,0,0,0,0,0,0.02,0,"APATITE"
"26","[1321] IMSLAND P. (1984)","samp. JAN329","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.25,0.0034,0.02,0,0.22,53.52,0.08,0.14,0.05,0.11,40.75,0.723238612312392,1.42,0.93,0,0,0,0,0,0,0.17,0,"APATITE"
"27","[1321] IMSLAND P. (1984)","samp. JAN329","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.27,0,9.41374962870626e-05,0,0.34,53.75,0.11,0.1,0,0.131,41.49,0.71785378384362,1.23,0.72,0,0,0,0,0,0,0.02,0.1,"APATITE"
"28","[1343] BAXTER A. N. (1985)","samp. 7","OCEAN ISLAND","MASCARENE ISLANDS INCL. REUNION / RODRIGUES",NA,-19.7,-19.7,63.42,63.42,"subaerial",NA,NA,"MEGACRYST, APATITE, XENOLITH",NA,NA,NA,"fresh","APATITE",NA,"macrocryst",NA,NA,"primary",0.6813,0,0,0,1.028,53.14,0.22,0.13,0.1,0.335,40.88,0.831604190531505,1.47,0.89,0,0,0,0,0,0,0.02,0.35,"APATITE"
"29","[1357] FODOR R. V. (1977)","samp. 16","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / WAIANAE / WAIANAE SERIES","KAUAOPUU RIDGE",21.43,21.43,-158.18,-158.18,"subaerial",NA,NA,"MEGACRYST, CLINOPYROXENE, XENOLITH",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.6939,0,0,0,0.18,53.9,0.0438720354159576,0,0,0.123,39.5,0.218596503990646,3.067,0.21,0,0,0,0,0,0,0,0,"APATITE"
"30","[1498] MARQUES L. S. (1999)","samp. TR-108","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE",NA,-20.5,-20.5,-29.3,-29.3,"subaerial",NA,NA,"ESSEXITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.38,0,0.11,0.058,0,56.54,0.02,0.0193,0,0.084,42.97,0.982445091888249,1.6077,0.05,0,0,0,0,0,0,0.05,0.42,"APATITE"
"31","[1612] SCHANDL E. S. (1990)","samp. 113-690C-24X42-46","OCEANIC PLATEAU","MAUD RISE / MAUD RISE / SITE 690","HOLE 690C",-65.1604,-65.1604,1.2048,1.2048,"subaquatic",-2925,-2925,"BASALT, ALKALINE","VESICULAR, PHYRIC",NA,NA,NA,"APATITE",NA,"xenocryst",NA,NA,"primary",1.124,0,0.012,0,0.76,55.55,0.187,0.03,0.007,0.053,37.86,0.685051444994419,2.10792,0.61,0,0,0,0,0,0,0,0.08,"APATITE"
"32","[1612] SCHANDL E. S. (1990)","samp. 113-690C-24X42-46","OCEANIC PLATEAU","MAUD RISE / MAUD RISE / SITE 690","HOLE 690C",-65.1604,-65.1604,1.2048,1.2048,"subaquatic",-2925,-2925,"BASALT, ALKALINE","VESICULAR, PHYRIC",NA,NA,NA,"APATITE",NA,"xenocryst",NA,NA,"primary",0.85,0.017,0.013,0,0,55.86,0,0.00556138360521507,0,0.02299609,38.95,0.543124409279544,2.46,0.36,0,0,0,0,0,0,0.08,0.03,"APATITE"
"33","[1612] SCHANDL E. S. (1990)","samp. 113-690C-24X42-46","OCEANIC PLATEAU","MAUD RISE / MAUD RISE / SITE 690","HOLE 690C",-65.1604,-65.1604,1.2048,1.2048,"subaquatic",-2925,-2925,"BASALT, ALKALINE","VESICULAR, PHYRIC",NA,NA,NA,"APATITE",NA,"groundmass",NA,NA,"primary",0.3615,0,0,0.02,0,53.69,0,0,1e-04,0.03,39.7,0.0722022362313886,3.496,0.1,0,0,0,0,0,0,0.02,0.6037,"APATITE"
"34","[2390] MEIJER A. (1983)","samp. ANDESITE","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / SAIPAN / SANKAKUYAMA FORMATION",NA,15.2,15.2,145.72,145.72,"subaerial",NA,NA,"ANDESITE",NA,NA,NA,NA,"APATITE",NA,"phenocryst",NA,NA,"primary",0.19,0,0,0.02,0.34,54.79,0.28,0.05,0.007181,0.08,40.63,0.220600561189777,3.225,0,0.01,0,0,0,0,0,0.05,0,"APATITE"
"35","[2738] VILADKAR S. G. (1992)","samp. 1","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.022636,0.03,0,0.01,0.293,54.43,0.032,0.28,0.01,0.16,41.47,0.41198623840057,2.59,1.25,0.01,0,0,0,0,0,0,0.03,"APATITE"
"36","[2738] VILADKAR S. G. (1992)","samp. 2","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.73,0,0,0,0.05,54.17,0,0,0,0.06,39.65,0.708522906249674,1.83,0.04,0,0,0,0,0,0,0.01,0,"APATITE"
"37","[2738] VILADKAR S. G. (1992)","samp. 3","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.14,0.1619,0,0,0.092,56.82,0.04,0.078,0.040107,0.16,41.1,0.853618595886313,1.81,1.03,0,0,0,0,0,0,0.02,0.08,"APATITE"
"38","[2738] VILADKAR S. G. (1992)","samp. 4","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.15,0,0,0,0.484,57.43,0.1,0,0.01,0.16,41.54,0.704682383274168,2.17,0.19,0,0,0,0,0,0,0,0.07,"APATITE"
"39","[2738] VILADKAR S. G. (1992)","samp. 5","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.29,0.013,0.00712,0.02,0.239,56.82,0.15,0.05,0.009395,0.02,41.18,0.706873598846929,1.497,0.755,0,0,0,0,0,0,0.09,0,"APATITE"
"40","[2738] VILADKAR S. G. (1992)","samp. 6","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.1,0.03,0.1309914,0.045,0.176776714285714,56.3,0.4,0.15,0.014,0.31,40.47,0.838865628325076,1.698,0.5,0,0,0,0,0,0,0,0.11,"APATITE"
"41","[2738] VILADKAR S. G. (1992)","samp. 7","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.33,0.01,0.03,0.14,0.08,56.5,0.027,0.054,0.01158,0.3,40.43,0.66396690311289,2.541,0.05,0.02,0,0,0,0,0,0.08,0.07,"APATITE"
"42","[2738] VILADKAR S. G. (1992)","samp. 8","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.16,0,0.2469344,0,0.1,56.72,0.059,0.2,0.03,0.39,40.53,0.235007091121204,3.41,0.11,0,0,0,0,0,0,0.01,0,"APATITE"
"43","[2738] VILADKAR S. G. (1992)","samp. 9","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"CARBONATITE, ANKERITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.11,0,0.03,0,0.257,56.16,0.281,0,0,0.32,41.8,0.926162813384022,1.746438,0.36,0,0,0,0,0,0,0.02,0.08,"APATITE"
"44","[2738] VILADKAR S. G. (1992)","samp. 10","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"CARBONATITE, ANKERITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.15,0.02,0.004,0.017,0.1,56.2,0.02,0.2682568,0.01,0.24,40.76,0.408679347695957,3.287,0.05,0.0098,0,0,0,0,0,0.02,0,"APATITE"
"45","[2738] VILADKAR S. G. (1992)","samp. 11","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"CARBONATITE, ANKERITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.14,0,0,0,0.3979374,56.45,0.14542941493657,0.082,0.001,0.28,41.16,0.596104801708354,2.28,0.54,0,0,0,0,0,0,0.08,0,"APATITE"
