"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","FE","NI","CU","CO","ZN","AS","PB","S","GROUP"
"21","[808] FODOR R. V. (1982)","samp. N-1","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / AITUTAKI",NA,-18.83,-18.83,-159.83,-159.83,"subaerial",NA,NA,"CLINOPYROXENITE, XENOLITH",NA,NA,NA,NA,"NEPHELINE",NA,NA,NA,NA,"primary",44.1,0.02,33.9,0.03,0.52,1.7,0.05,0.0299,4.8,14.1,0.3367,7.92109999999998,0,0,NA,NA,NA,NA,NA,NA,NA,0.01,"FELDSPATHOID"
"22","[808] FODOR R. V. (1982)","samp. B","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / AITUTAKI",NA,-18.83,-18.83,-159.83,-159.83,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"NEPHELINE",NA,NA,NA,NA,"primary",46.6,0.058,31.4,0,1.54,0.69,1,0.027,6.3,12.1,0.03,8.14230000000001,0.04,0.1342,NA,NA,NA,NA,NA,NA,NA,0,"FELDSPATHOID"
"23","[808] FODOR R. V. (1982)","samp. HOST","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / AITUTAKI",NA,-18.83,-18.83,-159.83,-159.83,"subaerial",NA,NA,"NEPHELINITE, OLIVINE",NA,NA,NA,NA,"NEPHELINE",NA,NA,NA,NA,"primary",42.8,0.0796,33.2,0.01,0.85,0.25,0.24,0,7,16,0.04,7.97399999999999,0.1,0.6515314,NA,NA,NA,NA,NA,NA,NA,0.01,"FELDSPATHOID"
"24","[808] FODOR R. V. (1982)","samp. B","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / AITUTAKI",NA,-18.83,-18.83,-159.83,-159.83,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"LEUCITE",NA,NA,NA,NA,"primary",56.9,0.0773,23.2,0,0.99,0.3,0.06,0,19.9,0.13,0,18.0269,0,0,NA,NA,NA,NA,NA,NA,NA,0.01,"FELDSPATHOID"
"25","[892] DORRONSORO-URRUTIA C. (1979)","samp. 26.507ILM","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA / ARUCAS","TRANSMONTANA",28.11,28.11,-15.47,-15.47,"subaerial",NA,NA,"TRACHYANDESITE",NA,NA,NA,NA,"HAUYNE",NA,NA,NA,NA,"primary",33.55,0.0734,26.52,0,0.3927,6.42,0.02,0.05,0.54,18.8,0.05,1.12,0.2556,0.35,NA,NA,NA,NA,NA,NA,NA,0.71,"FELDSPATHOID"
"26","[892] DORRONSORO-URRUTIA C. (1979)","samp. 26.518ILM","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA",NA,28,28,-15.6,-15.6,"subaerial",NA,NA,"HAUYNOPHYRE, XENOLITH",NA,NA,NA,NA,"HAUYNE",NA,NA,NA,NA,"primary",34.45,0.03,27.45,0,0.5279,6.69,0,0.0159,1.81,17.7,0.111554439243124,0.51,1e-04,0.67,NA,NA,NA,NA,NA,NA,NA,1.07,"FELDSPATHOID"
"27","[892] DORRONSORO-URRUTIA C. (1979)","samp. 26.518ILM","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA",NA,28,28,-15.6,-15.6,"subaerial",NA,NA,"HAUYNOPHYRE, XENOLITH",NA,NA,NA,NA,"HAUYNE",NA,NA,NA,NA,"primary",34.45,0.0206,27.58,0.03,0.0727,6.97,0,0.0141,1.76,17.6,0,0.5,0.1401,0.67,NA,NA,NA,NA,NA,NA,NA,5.97,"FELDSPATHOID"
"28","[892] DORRONSORO-URRUTIA C. (1979)","samp. 27.702ILM","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA",NA,28,28,-15.6,-15.6,"subaerial",NA,NA,"HAUYNOPHYRE, XENOLITH",NA,NA,NA,NA,"HAUYNE",NA,NA,NA,NA,"primary",34.1,0.024,27.18,0.04,0.22,6.97,0.0121,0.0262,1.32,17.8,0.08,0.18,0.1401,0.53,NA,NA,NA,NA,NA,NA,NA,8.3,"FELDSPATHOID"
"29","[925] AREVALO P. (1972)","samp. 1","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA","ARUCAS",28,28,-15.6,-15.6,"subaerial",NA,NA,"PHONOLITE",NA,NA,NA,NA,"HAUYNE",NA,NA,NA,NA,"primary",34,0.051,27.3,0.02,0.7,0.27,0.05,0.008,0.4,18.6,0.28,1.12,0.14,4.3107,NA,NA,NA,NA,NA,NA,NA,0.35,"FELDSPATHOID"
"30","[932] FERGUSON A. K. (1978)","samp. 1","OCEAN ISLAND","CANARY ISLANDS / TENERIFE",NA,28,28.6,-16.1,-16.9,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,NA,"SODALITE",NA,NA,NA,NA,"primary",37.8,0.0062,28.8,0.03,1.36,0.23,0.07,0.03,0.43,23.7,0.107228787002342,0.3,0.14,7.2,NA,NA,NA,NA,NA,NA,NA,1.07,"FELDSPATHOID"
