"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","X1"
"17","512240","samp. TC0242/2","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","HARZBURGITE, XENOLITH",0,0,0,0,28.8142413,0.51,0,0,0.01,0.63,0,0,0,0,34.57621596,17.50125444,1.33502775,0,0,32.98,0,0.14,NA
"18","512076","samp. TC0242/2","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","HARZBURGITE, XENOLITH",0,0,0,0,25.7047908,0.16,0,0,0.11,1.66,0,0,0,0,50.3308554,4.14371618,2.4920518,0.02489418,0.7540659,33.35,0,0.0975,NA
"19","511646","samp. 1026V","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL-GARNET, XENOLITH",0,0,0,0,28.6069446,0.16,0,0,0.11,0.63,0,0,0,0,52.72332084,0.17526292,0.8391603,0,0,36.46,0,0,NA
"20","511890","samp. 159-2","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","HARZBURGITE, XENOLITH",0,0,0,0,29.68488744,0.16,0,0,0.51,0.63,0,0,0,0,50.54719536,0.1877817,0.47043835,0,0,36.4,0,0,NA
"21","511647","samp. 1026V","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL-GARNET, XENOLITH",0,0,0,0,29.42231162,0.16,0,0,0.51,0.2,0,0,0,0,51.94704216,0.26289438,0.8137312,0.18670635,0,36.93,0,0.12,NA
"22","512071","samp. TC0225","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,23.8391205,0.16,0,0,0.11,1.66,0,0,0,0,54.25042644,2.80420672,3.1023502,0.1244709,0,33.74,0,0,NA
"23","512937","samp. 80H1","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","CARBONATITE",0,0,0,0,24.84796444,0.16,0,0,0.01,0.2,0,0,0,0,1.585644648,42.4386642,0.20597571,0.1244709,0.00780996825,36.73,0,0,NA
"24","512100","samp. TC0248","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,17.4820217,0.16,0,0,0.51,1.66,0,0,0,0,59.56984428,3.34251426,2.22504625,0.3734127,0.06463422,33.55,0,0,NA
"25","511891","samp. 159-3","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","HARZBURGITE, XENOLITH",0,0,0,0,17.35764368,0.21,0,0,0.11,0.2,0,0,0,0,65.11832796,0.10015024,0.3051492,0,0.11849607,36.06,0,0.12,NA
"26","511829","samp. BD 4155","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","CARBONATITE, NATRO",0,0,0,0,28.6069446,0.95,0,0,0.51,1.66,0,0,0,0,42.674965992,0.03755634,1.66560605,10.56757941,1.37886336,32.9,0,0,NA
"27","511554","samp. CV-5","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, XENOLITH",0,0,0,0,26.257582,0.16,0,0,0.11,1.66,0,0,0,0,67.0653876,1.36454702,1.271455,0,0.08617896,27.3,0,0.02,NA
