"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22"
"P2O5",-0.00450794544467405,0.00076218238568777,-0.0107436515602128,0.0540151283572473,-0.0758296643411051,0.00207141554988897,-0.0657272842124152,0.0225535434082959,-0.0582016023359569,-0.00806562636881089,-0.0163611698861179,0.0234518902793745,-0.000817700287965017,-0.00330021425476888,0.16920666010342,-0.153282059033911,-0.0384273981197061,-0.596783736618129,-0.752768435835388,0.0751746805224679,0.000935047971024668,0.0038663820957212
"H20",-0.0508129524463152,0.0197773596488442,0.0165197318899261,-0.0612708107597968,0.00583640501845652,-0.00215711796982071,-0.000410989251313211,-0.0123709344964722,0.0280329246287608,0.0476136484686156,-0.0356574194522563,-0.0803087635915719,0.0748298219845578,0.0192665237136652,0.85253050320208,0.487765989142883,0.0216501704194513,0.0964124076535905,0.0013260071875285,-0.0371322290916339,-0.000804185818230716,0.0139354591637426
"F",-0.0119327271256552,-0.00124739272068326,-0.00885265236125735,0.0140070415672666,-0.0177557942971704,0.000235431427229337,0.0101721770681302,0.00736595832850205,-0.0149035526886952,0.00776407686691724,-0.0234323494472437,0.0546270056600867,-0.00753186102872669,-0.00294754393356033,0.0552665981967238,-0.16715743589524,0.0233117928201608,0.0178905160726844,-0.060667171876106,-0.977712483862068,-0.0241203092766731,0.056426262058508
"CL",-0.00403189994773472,0.00213690521033042,0.00348607701621006,-0.00982281345931816,-0.00503338773997807,-9.52970522627646e-05,-0.0101170623476179,-4.06200051307612e-06,-0.000514803244948079,0.00580383669156689,-0.00241563212248393,0.034667306026371,-0.00463477151090285,-0.00211115941029387,0.025447144505168,-0.0157470890534349,-0.00039483922856085,-0.000825231233924592,0.00111529950401063,-0.0515336890447586,-0.00178100196205422,-0.997456159990163
"NIO",-0.0202830464275316,-0.181648095594222,0.609077943913317,0.145468600341083,-0.128836540488477,0.526036516790444,0.115094878972473,-0.0473460686101315,0.170401423052517,-0.262420822077736,-0.321442012168217,-0.018206336477188,-0.0169228888315168,-0.246334498569068,0.0103707186198804,-0.00289905740301799,-0.012889189638734,-0.037063110437824,0.0348856637323618,0.00151711126674716,-0.0159166276127725,-0.00071235099084028
"CUO",-0.0125245119070434,-0.12470747452199,0.433201793170316,0.132423673899611,-0.0649894009633311,-0.840931871999609,0.0489952869703901,0.0322562722839121,0.116525366890703,-0.13914102715644,-0.156736562750939,-0.00382534955090573,-0.00947894107189322,-0.0645934969396442,0.00355039478074754,-0.00080751949291543,0.0392908091678274,-0.023754490723018,0.0180954386732478,0.000504682145681312,0.00543866651318219,-0.000445883093563719
"COO",-0.00105868601012617,-0.00891356081426017,0.0301949021535563,0.00826422111416624,-0.00613979006643179,0.0142602497887117,0.00665610969218198,-0.0378073524812452,-0.0100533821856069,-0.000901038600849019,0.00604780721330535,0.00325115532677183,-0.000128959590887352,0.0491176521030981,-0.00165711640689514,0.000196035561952593,-0.0568714485650085,0.0212682147849066,-0.0159771722645519,-0.0248796332813157,0.995037169527544,-0.000583067142883075
"ZNO",-0.00294515047465659,-0.0255283737294105,0.117149808478622,0.0260892914833697,-0.0429428726466016,0.0703309971703049,0.0362093607285994,0.00497723030414128,0.0597807010549465,-0.212758655839628,-0.126831409029278,0.0700117725556064,-0.0290024461758913,0.949634316260706,-0.00649697728164959,0.00194162484826663,0.0345327640030117,-0.0227745510795168,0.0147605696369254,0.00225427624592726,-0.0485139331667415,-0.000655683206851521
"PBO",-0.00679064229402165,-0.0614649552700083,0.160577360764962,0.0446315686909185,-0.0274293960568846,-0.0172069486941641,0.0560581561492864,-0.836515769250046,-0.375830029708832,0.122377720219002,0.155945044838984,0.00636131647714854,0.0110539297281594,0.0380179311474731,-0.00471125686151021,0.00700937256531821,0.278462580322871,-0.0570762479787909,0.0265770865720778,0.000382824573702824,-0.0268507846299388,-2.60070853193338e-05
"S",-0.0375710231418542,-0.290147496217847,0.4352266495936,0.0610307702249464,-0.011201283523196,0.0837261701791457,-0.0406633303242891,0.287167912722755,0.0136833423737152,0.466721104409672,0.61567497315696,-0.00419834151963606,0.0482999466190678,0.119256700878472,-0.0225262295012395,0.0154327306485781,0.0229028228978682,0.0851805423833226,-0.0863008942423698,-0.00845826154925429,-0.0176358604924856,0.000979092316818778
"ZRO2",-0.0120037251110152,0.00621417736019579,0.0012832190093134,0.0227040149417445,0.0238850093465556,0.0015387456948478,-0.0180163687893693,-0.00832138989779333,0.0174229866637014,-0.0530991149569913,0.124611026716327,-0.186428868850832,-0.967172164880123,-0.0106065023763158,0.0912668905351225,-0.0276719608883244,8.65031655379649e-05,0.00228895134262544,0.016947401522639,0.00202987405909153,0.000559312754728628,-1.45843783953706e-06
"AS",-0.00496679623956202,-0.0410785381477143,0.0663753865008559,0.014930693544786,-0.0040214923442963,-0.0435378189929118,0.0119919492553685,-0.243221140639816,-0.120040243936844,0.0232889594982057,0.00392506486686694,-0.00592512321134154,-0.00193677270870214,0.045487985811289,0.00158092329473087,-0.0158438940784586,-0.906626614095631,0.254247698196172,-0.151498876500794,-0.00335859117093188,-0.0744391372234005,0.000391615593142515
