"","SAMPLE","MINERAL","GROUP","As","W","Fe","Co","Ni","Cu","Zn","Bi","Te","Pt","Au","Mo","S","Pb","Ag","Sb","Cr","V","Se","Mn","Cd","Hg","value"
"56","ek65e 4c 3","PYRITE","SULFIDE",0,0,46.46,0.07,0.04,0.03,0,0.12,0,0,0,0.12,53.87,0.09,0,0.002,0,0,0.002,0,0,0,100.804
"57","ek65e 4c 4","PYRITE","SULFIDE",0.02,0,46.63,0.06,0.04,0.06,0,0.19,0.01,0,0,0.11,53.69,0.14,0,0.001,0,0,0.025,0,0.028,0,101.004
"58","ek65e 4c 5","PYRITE","SULFIDE",0.25,0,46.42,0.05,0.02,0.02,0.02,0.21,0.008,0.055,0,0.2,53.33,0.09,0,0.005,0,0,0.007,0,0.737,0,101.422
"59","ek68b 2c 1","PYRITE","SULFIDE",0,0,46.08,0.03,0.01,0.12,0.01,0.16,0.01,0,0,0.07,53.23,0.19,0,0.038,0,0.01,0,0,0.096,0,100.054
"60","ek68b 2c 2","PYRITE","SULFIDE",0.05,0,46.02,0.05,0.02,0.16,0,0.07,0,0,0,0.13,53.09,0.16,0,0,0.02,0,0,0,0.07,0,99.84
"61","df1 1","PYRITE","SULFIDE",0.13,0,46.65,0.04,0.03,0,0,0.19,0,0.021,0,0.07,53.17,0.1,0,0.005,0.01,0,0,0,0.001,0,100.417
"62","df1 2","PYRITE","SULFIDE",0.45,0,45.89,0.03,0.01,0.01,0,0.12,0,0,0,0.09,52.86,0.17,0,0.011,0.01,0,0,0,0,0,99.651
"63","df1 3","PYRITE","SULFIDE",0.21,0.013,46.37,0.07,0.03,0,0,0.11,0.003,0,0,0.11,53.04,0.08,0,0.005,0.02,0,0,0,0.027,0,100.088
"64","df1 4","PYRITE","SULFIDE",0.32,0,45.96,0.07,0,0,0,0.17,0.026,0,0,0.18,52.67,0.15,0.02,0,0,0,0.025,0,0,0,99.591
"65","df1 5","PYRITE","SULFIDE",0.01,0,46.64,0.04,0.02,0.03,0.04,0.14,0.008,0,0,0.07,53.28,0.03,0,0,0,0,0.026,0,0.009,0,100.343
"66","df1 6","PYRITE","SULFIDE",0.29,0.046,46.21,0.04,0.01,0.01,0,0.16,0.021,0,0,0.12,52.88,0.1,0.01,0,0.01,0.01,0,0,0.048,0,99.965
"67","df1 7","PYRITE","SULFIDE",0.44,0,46.54,0.05,0.04,0.04,0.01,0.11,0,0.008,0,0.13,52.74,0.13,0,0,0.01,0,0.005,0,0,0,100.253
"68","df1 8","PYRITE","SULFIDE",0,0,46.17,0.06,0.03,0.01,0.01,0.07,0.03,0.007,0,0.12,52.86,0.13,0.03,0,0,0.01,0.025,0,0.027,0,99.589
"69","ek66a 1c 10","PYRITE","SULFIDE",0.4,0.01,46.66,0.05,0,0.08,0,0.08,0,0.02,0,0.07,53.23,0.21,0.01,0,0,0,0.005,0,0.059,0,100.884
"70","EK-16_C1_Py 1","PYRITE","SULFIDE",0,0,44.597,0.047,0.021,0.039,0,0,0.05,0,0,0.16,52.184,0.117,0.021,0.01,0.01,0,0,0,0,0,97.256
"71","EK-16_C1_Py 3","PYRITE","SULFIDE",0,0.033,45.816,0.025,0.023,0.049,0,0,0.094,0,0,0.12,52.341,0.137,0,0.005,0.01,0,0.015,0,0.052,0,98.72
"72","EK-16_C2_Py 4","PYRITE","SULFIDE",0,0.007,45.184,0.014,0,0.048,0.025,0,0,0,0,0.08,52.493,0.187,0,0,0.011,0,0,0,0.012,0,98.061
"73","EK-16_C2_Py 5","PYRITE","SULFIDE",0,0.023,45.109,0.025,0.021,0.04,0,0,0,0.002,0,0.07,52.495,0.189,0.011,0.008,0,0,0.012,0,0,0,98.005
"74","EK-16_C2_Py 6","PYRITE","SULFIDE",0,0,44.759,0.043,0.038,0.031,0,0,0,0,0.011,0.13,52.711,0.204,0,0.021,0,0,0.004,0,1.213,0,99.165
"75","16-108_C1_Py 1","PYRITE","SULFIDE",0,0,45.769,0.033,0.015,0.031,0.065,0,0.036,0,0,0.09,52.235,0.085,0,0,0.02,0,0.005,0,0.016,0,98.4
"76","16-108_C1_Py 2","PYRITE","SULFIDE",0,0,45.459,0.034,0,0.019,0.093,0,0,0,0,0.09,52.208,0.2,0,0,0.02,0,0.012,0,0,0,98.135
"77","16-108_C1_Py 3","PYRITE","SULFIDE",0,0.001,45.471,0.063,0.017,0.03,0,0,0,0,0,0.08,52.094,0.174,0,0,0,0,0,0,0.031,0,97.961
"78","DED-411_C1_Py 1","PYRITE","SULFIDE",0,0,55.965,0.169,0.106,0.02,0,0,0,0.006,0,0.08,38.937,0.242,0,0.01,0.01,0,0,0,0.669,0,96.214
"79","DED-411_C2_Py 2","PYRITE","SULFIDE",0,0,56.388,0.173,0.071,0.022,0,0.065,0,0,0,0.11,38.891,0.107,0,0,0,0,0.016,0,1.108,0,96.951
"80","DED-411_C2_Py 3","PYRITE","SULFIDE",0,0,56.837,0.145,0.083,0.092,0,0,0.01,0,0,0.12,38.89,0.19,0.007,0,0.01,0,0,0,0,0,96.384
